"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.504,0.556,0,0.304,0,0.502
"2",2,0,0.554,0.604,0,0.336,0.006,0.554
"3",3,0,0.522,0.578,0,0.314,0,0.524
"4",4,0,0.506,0.572,0,0.328,0,0.502
"5",5,0,0.508,0.552,0,0.328,0.002,0.512
"6",6,0,0.504,0.568,0,0.284,0.002,0.508
"7",7,0,0.5,0.56,0,0.35,0,0.502
"8",8,0,0.556,0.584,0,0.326,0,0.556
"9",9,0,0.52,0.594,0,0.374,0,0.518
"10",10,0,0.526,0.604,0,0.374,0,0.526
"11",11,0,0.52,0.594,0,0.316,0,0.518
"12",12,0,0.538,0.578,0,0.352,0.002,0.54
"13",13,0,0.51,0.574,0,0.338,0,0.512
"14",14,0,0.544,0.592,0,0.374,0.002,0.55
"15",15,0,0.5,0.58,0,0.342,0,0.504
"16",16,0,0.486,0.542,0,0.276,0,0.476
"17",17,0,0.496,0.56,0,0.332,0,0.504
"18",18,0,0.5,0.578,0,0.328,0.002,0.5
"19",19,0,0.524,0.574,0,0.318,0.002,0.53
"20",20,0,0.476,0.548,0,0.296,0,0.478
"21",21,0,0.536,0.612,0,0.39,0,0.536
"22",22,0,0.506,0.598,0,0.368,0,0.506
"23",23,0,0.528,0.598,0,0.332,0,0.532
"24",24,0,0.494,0.562,0,0.352,0,0.494
"25",25,0,0.478,0.57,0,0.378,0.002,0.48
"26",26,0,0.544,0.608,0,0.362,0,0.544
"27",27,0,0.5,0.564,0,0.358,0,0.49
"28",28,0,0.508,0.604,0,0.378,0,0.508
"29",29,0,0.472,0.55,0,0.298,0,0.472
"30",30,0,0.476,0.53,0,0.328,0.004,0.476
"31",31,0,0.516,0.584,0,0.346,0,0.516
"32",32,0,0.5,0.584,0,0.32,0,0.506
"33",33,0,0.478,0.568,0,0.338,0.002,0.484
"34",34,0,0.518,0.542,0,0.348,0,0.512
"35",35,0,0.552,0.616,0,0.4,0,0.55
"36",36,0,0.506,0.57,0,0.298,0,0.51
"37",37,0,0.49,0.536,0,0.348,0.002,0.49
"38",38,0,0.536,0.594,0,0.342,0,0.536
"39",39,0,0.528,0.6,0,0.37,0,0.516
"40",40,0,0.52,0.594,0,0.32,0.002,0.524
"41",41,0,0.5,0.57,0,0.342,0,0.498
"42",42,0,0.522,0.588,0,0.332,0,0.526
"43",43,0,0.514,0.574,0,0.372,0,0.514
"44",44,0,0.478,0.568,0,0.318,0.002,0.478
"45",45,0,0.498,0.57,0,0.318,0,0.498
"46",46,0,0.52,0.558,0,0.334,0,0.526
"47",47,0,0.53,0.568,0,0.348,0,0.528
"48",48,0,0.498,0.558,0,0.292,0,0.5
"49",49,0,0.492,0.556,0,0.298,0,0.492
"50",50,0,0.478,0.56,0,0.318,0,0.48
