"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.642,0.64,0.664,0.64,0.624
"2",2,0.604,0.602,0.61,0.602,0.578
"3",3,0.664,0.662,0.67,0.664,0.66
"4",4,0.626,0.624,0.636,0.624,0.614
"5",5,0.632,0.632,0.646,0.632,0.608
"6",6,0.678,0.68,0.688,0.68,0.654
"7",7,0.65,0.65,0.674,0.65,0.622
"8",8,0.604,0.602,0.63,0.602,0.582
"9",9,0.684,0.682,0.706,0.684,0.676
"10",10,0.68,0.68,0.698,0.68,0.674
"11",11,0.626,0.628,0.662,0.628,0.604
"12",12,0.594,0.594,0.634,0.594,0.586
"13",13,0.66,0.658,0.67,0.656,0.614
"14",14,0.63,0.632,0.646,0.63,0.61
"15",15,0.654,0.654,0.658,0.654,0.624
"16",16,0.614,0.616,0.618,0.616,0.59
"17",17,0.638,0.638,0.66,0.638,0.624
"18",18,0.634,0.634,0.654,0.634,0.614
"19",19,0.644,0.644,0.672,0.644,0.62
"20",20,0.67,0.672,0.704,0.672,0.65
"21",21,0.654,0.65,0.68,0.652,0.644
"22",22,0.642,0.644,0.648,0.646,0.618
"23",23,0.628,0.634,0.654,0.63,0.622
"24",24,0.684,0.682,0.7,0.682,0.64
"25",25,0.61,0.61,0.636,0.61,0.586
"26",26,0.658,0.658,0.67,0.658,0.64
"27",27,0.646,0.646,0.656,0.648,0.638
"28",28,0.624,0.624,0.644,0.624,0.592
"29",29,0.668,0.668,0.684,0.668,0.632
"30",30,0.638,0.638,0.652,0.638,0.622
"31",31,0.608,0.612,0.634,0.612,0.596
"32",32,0.668,0.666,0.678,0.67,0.652
"33",33,0.676,0.672,0.682,0.674,0.64
"34",34,0.636,0.634,0.652,0.634,0.616
"35",35,0.708,0.708,0.714,0.708,0.676
"36",36,0.646,0.646,0.67,0.646,0.626
"37",37,0.674,0.674,0.686,0.674,0.656
"38",38,0.654,0.652,0.65,0.652,0.628
"39",39,0.642,0.644,0.658,0.642,0.624
"40",40,0.668,0.668,0.674,0.668,0.638
"41",41,0.69,0.688,0.684,0.688,0.652
"42",42,0.61,0.612,0.636,0.612,0.59
"43",43,0.642,0.648,0.678,0.642,0.622
"44",44,0.672,0.668,0.708,0.668,0.658
"45",45,0.618,0.618,0.646,0.618,0.604
"46",46,0.64,0.64,0.652,0.64,0.628
"47",47,0.66,0.66,0.682,0.66,0.646
"48",48,0.678,0.682,0.684,0.682,0.666
"49",49,0.656,0.652,0.668,0.65,0.626
"50",50,0.622,0.622,0.65,0.622,0.606
