"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0.0995024875621891,0.0858585858585859,0,0,0
"2",2,0,0.0921409214092141,0.0957446808510638,0,0,0
"3",3,0,0.0863509749303621,0.0754189944134078,0,0,0
"4",4,0,0.104972375690608,0.11716621253406,0,0,0
"5",5,0,0.0975609756097561,0.0976253298153034,0,0,0
"6",6,0,0.065625,0.0642201834862385,0,0,0
"7",7,0,0.0833333333333333,0.0856353591160221,0,0,0
"8",8,0,0.100755667506297,0.102244389027431,0,0,0
"9",9,0,0.0736543909348442,0.0821917808219178,0,0,0
"10",10,0,0.0751445086705202,0.0814606741573034,0,0,0
"11",11,0,0.0903954802259887,0.0932203389830508,0,0,0
"12",12,0,0.0837988826815642,0.0835579514824798,0,0,0
"13",13,0,0.0957746478873239,0.0758426966292135,0,0,0
"14",14,0,0.0876288659793814,0.0865139949109415,0,0,0
"15",15,0,0.115089514066496,0.111392405063291,0,0,0
"16",16,0,0.0968660968660969,0.0991735537190083,0,0,0
"17",17,0,0.0761154855643045,0.0798969072164948,0,0,0
"18",18,0,0.0984042553191489,0.0824468085106383,0,0,0
"19",19,0,0.0913838120104439,0.078125,0,0,0
"20",20,0,0.0976253298153034,0.0862533692722372,0,0,0
"21",21,0,0.0784313725490196,0.0794520547945206,0,0,0
"22",22,0,0.0824175824175824,0.0868421052631579,0,0,0
"23",23,0,0.0826210826210826,0.0863509749303621,0,0,0
"24",24,0,0.0728291316526611,0.0828729281767956,0,0,0
"25",25,0,0.0879120879120879,0.0840108401084011,0,0,0
"26",26,0,0.0813008130081301,0.0901639344262295,0,0,0
"27",27,0,0.100263852242744,0.102631578947368,0,0,0
"28",28,0,0.0708215297450425,0.075,0,0,0
"29",29,0,0.0989304812834225,0.0909090909090909,0,0,0
"30",30,0,0.0731707317073171,0.0846560846560847,0,0,0
"31",31,0,0.0906666666666667,0.0851063829787234,0,0,0
"32",32,0,0.0893854748603352,0.0909090909090909,0,0,0
"33",33,0,0.0883977900552486,0.0792349726775956,0,0,0
"34",34,0,0.0798898071625344,0.0710382513661202,0,0,0
"35",35,0,0.0911602209944751,0.0997304582210243,0,0,0
"36",36,0,0.0927536231884058,0.101983002832861,0,0,0
"37",37,0,0.0805555555555556,0.0821917808219178,0,0,0
"38",38,0,0.0956521739130435,0.0980392156862745,0,0,0
"39",39,0,0.101604278074866,0.0954907161803713,0,0,0
"40",40,0,0.0542857142857143,0.0647887323943662,0,0,0
"41",41,0,0.0756756756756757,0.0868421052631579,0,0,0
"42",42,0,0.0957746478873239,0.0842696629213483,0,0,0
"43",43,0,0.0967741935483871,0.0884718498659517,0,0,0
"44",44,0,0.0957446808510638,0.103626943005181,0,0,0
"45",45,0,0.106951871657754,0.0828877005347594,0,0,0
"46",46,0,0.064,0.0843989769820972,0,0,0
"47",47,0,0.11614730878187,0.108635097493036,0,0,0
"48",48,0,0.0792349726775956,0.101063829787234,0,0,0
"49",49,0,0.112600536193029,0.10880829015544,0,0,0
"50",50,0,0.0606936416184971,0.056657223796034,0,0,0
