"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.572
"2",2,0,0,0,0,0,0,0,0.552
"3",3,0,0,0,0,0,0,0,0.606
"4",4,0,0,0,0,0,0,0,0.562
"5",5,0,0,0,0,0,0,0,0.602
"6",6,0,0,0,0,0,0,0,0.612
"7",7,0,0,0,0,0,0,0,0.6
"8",8,0,0,0,0,0,0,0,0.608
"9",9,0,0,0,0,0,0,0,0.602
"10",10,0,0,0,0,0,0,0,0.61
"11",11,0,0,0,0,0,0,0,0.554
"12",12,0,0,0,0,0,0,0,0.602
"13",13,0,0,0,0,0,0,0,0.578
"14",14,0,0,0,0,0,0,0,0.606
"15",15,0,0,0,0,0,0,0,0.588
"16",16,0,0,0,0,0,0,0,0.57
"17",17,0,0,0,0,0,0,0,0.57
"18",18,0,0,0,0,0,0,0,0.588
"19",19,0,0,0,0,0,0,0,0.572
"20",20,0,0,0,0,0,0,0,0.578
"21",21,0,0,0,0,0,0,0,0.582
"22",22,0,0,0,0,0,0,0,0.602
"23",23,0,0,0,0,0,0,0,0.566
"24",24,0,0,0,0,0,0,0,0.562
"25",25,0,0,0,0,0,0,0,0.57
"26",26,0,0,0,0,0,0,0,0.588
"27",27,0,0,0,0,0,0,0,0.598
"28",28,0,0,0,0,0,0,0,0.584
"29",29,0,0,0,0,0,0,0,0.636
"30",30,0,0,0,0,0,0,0,0.6
"31",31,0,0,0,0,0,0,0,0.598
"32",32,0,0,0,0,0,0,0,0.59
"33",33,0,0,0,0,0,0,0,0.586
"34",34,0,0,0,0,0,0,0,0.63
"35",35,0,0,0,0,0,0,0,0.648
"36",36,0,0,0,0,0,0,0,0.568
"37",37,0,0,0,0,0,0,0,0.552
"38",38,0,0,0,0,0,0,0,0.574
"39",39,0,0,0,0,0,0,0,0.624
"40",40,0,0,0,0,0,0,0,0.584
"41",41,0,0,0,0,0,0,0,0.6
"42",42,0,0,0,0,0,0,0,0.544
"43",43,0,0,0,0,0,0,0,0.588
"44",44,0,0,0,0,0,0,0,0.596
"45",45,0,0,0,0,0,0,0,0.58
"46",46,0,0,0,0,0,0,0,0.602
"47",47,0,0,0,0,0,0,0,0.532
"48",48,0,0,0,0,0,0,0,0.606
"49",49,0,0,0,0,0,0,0,0.58
"50",50,0,0,0,0,0,0,0,0.586
