"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.634
"2",2,0,0,0,0,0,0,0,0,0.642
"3",3,0,0,0,0,0,0,0,0,0.68
"4",4,0,0,0,0,0,0,0,0,0.696
"5",5,0,0,0,0,0,0,0,0,0.656
"6",6,0,0,0,0,0,0,0,0,0.646
"7",7,0,0,0,0,0,0,0,0,0.678
"8",8,0,0,0,0,0,0,0,0,0.658
"9",9,0,0,0,0,0,0,0,0,0.688
"10",10,0,0,0,0,0,0,0,0,0.668
"11",11,0,0,0,0,0,0,0,0,0.614
"12",12,0,0,0,0,0,0,0,0,0.684
"13",13,0,0,0,0,0,0,0,0,0.676
"14",14,0,0,0,0,0,0,0,0,0.698
"15",15,0,0,0,0,0,0,0,0,0.616
"16",16,0,0,0,0,0,0,0,0,0.688
"17",17,0,0,0,0,0,0,0,0,0.662
"18",18,0,0,0,0,0,0,0,0,0.622
"19",19,0,0,0,0,0,0,0,0,0.666
"20",20,0,0,0,0,0,0,0,0,0.696
"21",21,0,0,0,0,0,0,0,0,0.632
"22",22,0,0,0,0,0,0,0,0,0.676
"23",23,0,0,0,0,0,0,0,0,0.698
"24",24,0,0,0,0,0,0,0,0,0.696
"25",25,0,0,0,0,0,0,0,0,0.664
"26",26,0,0,0,0,0,0,0,0,0.666
"27",27,0,0,0,0,0,0,0,0,0.66
"28",28,0,0,0,0,0,0,0,0,0.678
"29",29,0,0,0,0,0,0,0,0,0.658
"30",30,0,0,0,0,0,0,0,0,0.67
"31",31,0,0,0,0,0,0,0,0,0.672
"32",32,0,0,0,0,0,0,0,0,0.638
"33",33,0,0,0,0,0,0,0,0,0.666
"34",34,0,0,0,0,0,0,0,0,0.652
"35",35,0,0,0,0,0,0,0,0,0.672
"36",36,0,0,0,0,0,0,0,0,0.64
"37",37,0,0,0,0,0,0,0,0,0.66
"38",38,0,0,0,0,0,0,0,0,0.642
"39",39,0,0,0,0,0,0,0,0,0.66
"40",40,0,0,0,0,0,0,0,0,0.622
"41",41,0,0,0,0,0,0,0,0,0.652
"42",42,0,0,0,0,0,0,0,0,0.658
"43",43,0,0,0,0,0,0,0,0,0.628
"44",44,0,0,0,0,0,0,0,0,0.684
"45",45,0,0,0,0,0,0,0,0,0.69
"46",46,0,0,0,0,0,0,0,0,0.642
"47",47,0,0,0,0,0,0,0,0,0.674
"48",48,0,0,0,0,0,0,0,0,0.712
"49",49,0,0,0,0,0,0,0,0,0.636
"50",50,0,0,0,0,0,0,0,0,0.664
