"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.698
"2",2,0,0,0,0,0,0,0,0,0.71
"3",3,0,0,0,0,0,0,0,0,0.676
"4",4,0,0,0,0,0,0,0,0,0.69
"5",5,0,0,0,0,0,0,0,0,0.72
"6",6,0,0,0,0,0,0,0,0,0.68
"7",7,0,0,0,0,0,0,0,0,0.674
"8",8,0,0,0,0,0,0,0,0,0.696
"9",9,0,0,0,0,0,0,0,0,0.692
"10",10,0,0,0,0,0,0,0,0,0.668
"11",11,0,0,0,0,0,0,0,0,0.71
"12",12,0,0,0,0,0,0,0,0,0.676
"13",13,0,0,0,0,0,0,0,0,0.674
"14",14,0,0,0,0,0,0,0,0,0.652
"15",15,0,0,0,0,0,0,0,0,0.638
"16",16,0,0,0,0,0,0,0,0,0.672
"17",17,0,0,0,0,0,0,0,0,0.668
"18",18,0,0,0,0,0,0,0,0,0.682
"19",19,0,0,0,0,0,0,0,0,0.668
"20",20,0,0,0,0,0,0,0,0,0.644
"21",21,0,0,0,0,0,0,0,0,0.694
"22",22,0,0,0,0,0,0,0,0,0.67
"23",23,0,0,0,0,0,0,0,0,0.718
"24",24,0,0,0,0,0,0,0,0,0.678
"25",25,0,0,0,0,0,0,0,0,0.696
"26",26,0,0,0,0,0,0,0,0,0.662
"27",27,0,0,0,0,0,0,0,0,0.678
"28",28,0,0,0,0,0,0,0,0,0.644
"29",29,0,0,0,0,0,0,0,0,0.668
"30",30,0,0,0,0,0,0,0,0,0.67
"31",31,0,0,0,0,0,0,0,0,0.708
"32",32,0,0,0,0,0,0,0,0,0.662
"33",33,0,0,0,0,0,0,0,0,0.662
"34",34,0,0,0,0,0,0,0,0,0.654
"35",35,0,0,0,0,0,0,0,0,0.698
"36",36,0,0,0,0,0,0,0,0,0.66
"37",37,0,0,0,0,0,0,0,0,0.68
"38",38,0,0,0,0,0,0,0,0,0.696
"39",39,0,0,0,0,0,0,0,0,0.7
"40",40,0,0,0,0,0,0,0,0,0.67
"41",41,0,0,0,0,0,0,0,0,0.684
"42",42,0,0,0,0,0,0,0,0,0.696
"43",43,0,0,0,0,0,0,0,0,0.718
"44",44,0,0,0,0,0,0,0,0,0.668
"45",45,0,0,0,0,0,0,0,0,0.718
"46",46,0,0,0,0,0,0,0,0,0.692
"47",47,0,0,0,0,0,0,0,0,0.718
"48",48,0,0,0,0,0,0,0,0,0.684
"49",49,0,0,0,0,0,0,0,0,0.698
"50",50,0,0,0,0,0,0,0,0,0.678
