"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.65,0.65,0.68,0.65,0.64
"2",2,0.624,0.624,0.644,0.624,0.596
"3",3,0.642,0.642,0.664,0.642,0.628
"4",4,0.63,0.63,0.64,0.628,0.598
"5",5,0.61,0.61,0.644,0.61,0.588
"6",6,0.602,0.604,0.642,0.602,0.586
"7",7,0.638,0.638,0.686,0.638,0.626
"8",8,0.622,0.622,0.632,0.622,0.6
"9",9,0.606,0.606,0.638,0.606,0.588
"10",10,0.604,0.604,0.652,0.604,0.588
"11",11,0.594,0.596,0.632,0.594,0.56
"12",12,0.606,0.604,0.624,0.604,0.6
"13",13,0.64,0.64,0.664,0.64,0.62
"14",14,0.662,0.662,0.676,0.662,0.638
"15",15,0.596,0.596,0.614,0.594,0.58
"16",16,0.628,0.63,0.652,0.632,0.608
"17",17,0.642,0.642,0.682,0.642,0.636
"18",18,0.592,0.594,0.616,0.59,0.572
"19",19,0.64,0.64,0.678,0.64,0.618
"20",20,0.638,0.636,0.662,0.638,0.62
"21",21,0.658,0.654,0.678,0.656,0.618
"22",22,0.6,0.6,0.614,0.598,0.588
"23",23,0.65,0.65,0.68,0.65,0.628
"24",24,0.64,0.642,0.676,0.64,0.598
"25",25,0.644,0.644,0.67,0.644,0.628
"26",26,0.592,0.592,0.614,0.59,0.564
"27",27,0.57,0.572,0.616,0.572,0.562
"28",28,0.642,0.642,0.674,0.642,0.622
"29",29,0.63,0.628,0.654,0.626,0.606
"30",30,0.602,0.6,0.62,0.6,0.562
"31",31,0.632,0.632,0.65,0.632,0.612
"32",32,0.612,0.612,0.642,0.612,0.592
"33",33,0.592,0.592,0.622,0.592,0.572
"34",34,0.626,0.624,0.648,0.626,0.614
"35",35,0.62,0.62,0.658,0.62,0.592
"36",36,0.622,0.622,0.676,0.62,0.608
"37",37,0.658,0.656,0.686,0.658,0.64
"38",38,0.61,0.618,0.644,0.612,0.59
"39",39,0.656,0.654,0.678,0.654,0.622
"40",40,0.606,0.61,0.626,0.608,0.574
"41",41,0.64,0.64,0.664,0.64,0.634
"42",42,0.62,0.62,0.648,0.62,0.592
"43",43,0.612,0.612,0.654,0.612,0.602
"44",44,0.596,0.596,0.62,0.596,0.564
"45",45,0.614,0.614,0.658,0.612,0.598
"46",46,0.632,0.632,0.668,0.632,0.612
"47",47,0.608,0.608,0.65,0.608,0.602
"48",48,0.618,0.618,0.632,0.618,0.592
"49",49,0.604,0.602,0.644,0.604,0.586
"50",50,0.596,0.596,0.636,0.596,0.584
