"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.0666666666666667
"2",2,0,0,0,0,0,0.0427631578947368
"3",3,0,0,0,0,0,0.027972027972028
"4",4,0,0,0,0,0,0.0405405405405405
"5",5,0,0,0,0,0,0.0252365930599369
"6",6,0,0,0,0,0,0.037037037037037
"7",7,0,0,0,0,0,0.0272108843537415
"8",8,0,0,0,0,0,0.0496688741721854
"9",9,0,0,0,0,0,0.054421768707483
"10",10,0,0,0,0,0,0.0255591054313099
"11",11,0,0,0,0,0,0.0495356037151703
"12",12,0,0,0,0,0,0.0103806228373702
"13",13,0,0,0,0,0,0.0488599348534202
"14",14,0,0,0,0,0,0.0453074433656958
"15",15,0,0,0,0,0,0.0498220640569395
"16",16,0,0,0,0,0,0.0441640378548896
"17",17,0,0,0,0,0,0.0390879478827362
"18",18,0,0,0,0,0,0.0208333333333333
"19",19,0,0,0,0,0,0.0260586319218241
"20",20,0,0,0,0,0,0.035031847133758
"21",21,0,0,0,0,0,0.0405405405405405
"22",22,0,0,0,0,0,0.0359477124183007
"23",23,0,0,0,0,0,0.0396039603960396
"24",24,0,0,0,0,0,0.0507246376811594
"25",25,0,0,0,0,0,0.0738255033557047
"26",26,0,0,0,0,0,0.0253623188405797
"27",27,0,0,0,0,0,0.0498442367601246
"28",28,0,0,0,0,0,0.0586319218241042
"29",29,0,0,0,0,0,0.0565371024734982
"30",30,0,0,0,0,0,0.0273037542662116
"31",31,0,0,0,0,0,0.0608974358974359
"32",32,0,0,0,0,0,0.0311418685121107
"33",33,0,0,0,0,0,0.0232558139534884
"34",34,0,0,0,0,0,0.0366666666666667
"35",35,0,0,0,0,0,0.0487012987012987
"36",36,0,0,0,0,0,0.0336700336700337
"37",37,0,0,0,0,0,0.0365448504983389
"38",38,0,0,0,0,0,0.0616438356164384
"39",39,0,0,0,0,0,0.0335570469798658
"40",40,0,0,0,0,0,0.054421768707483
"41",41,0,0,0,0,0,0.0204778156996587
"42",42,0,0,0,0,0,0.0258899676375405
"43",43,0,0,0,0,0,0.0616883116883117
"44",44,0,0,0,0,0,0.0364238410596026
"45",45,0,0,0,0,0,0.0372881355932203
"46",46,0,0,0,0,0,0.0641025641025641
"47",47,0,0,0,0,0,0.0412371134020619
"48",48,0,0,0,0,0,0.0321428571428571
"49",49,0,0,0,0,0,0.0405405405405405
"50",50,0,0,0,0,0,0.0426229508196721
