"","Algorithm","Power","FDR"
"1","1D_NPMLE",0.43684,0.0892833268438979
"2","2D_NPMLE",0.51348,0.0930573935568506
"3","1D_Proj",0.43484,0.0881773558743014
"4","Welch",0.27448,0.183554711727286
