"","n1","log_2_n2","power_welch","power_t","fdr_welch","fdr_t","diff_p_value"
"1",3,1,0.00114,0.0037,0.0225,0.16478278661483,462.55173344673
"2",3,2,0.19014,0.0033,0.0829199541619665,0.14518253968254,259.527731131789
"3",3,3,0.29166,0.00276,0.260254266238928,0.111985431235431,143.25312250702
"4",3,4,0.28042,0.00222,0.39477928367472,0.124410256410256,80.7785224682124
"5",3,5,0.24598,0.00302,0.455696104534838,0.111024531024531,47.1223591332692
"6",3,6,0.18566,0.00356,0.488212128801932,0.0829487734487734,27.8548185629321
"7",3,7,0.14262,0.00268,0.495914852872407,0.0907533577533577,16.6033385861857
"8",3,8,0.09774,0.00228,0.505887287584933,0.101103896103896,9.75226099555995
"9",3,9,0.06502,0.00254,0.505263014394554,0.0991349206349206,5.65399848478922
"10",3,10,0.04368,0.00232,0.499496585276246,0.108206349206349,3.17199088432131
"11",3,11,0.0268,0.0026,0.512738275048894,0.0779523809523809,1.75966431916755
"12",3,12,0.01776,0.0024,0.48653547455395,0.0911336996336996,0.947731040799631
"13",3,13,0.01154,0.00216,0.512239459588001,0.0872619047619048,0.50577859222578
"14",3,14,0.00842,0.00216,0.424071313605261,0.0953376623376624,0.265236419846594
"15",3,15,0.0052,0.00246,0.355227358554758,0.104990842490842,0.139127019088913
"16",3,16,0.00438,0.00248,0.264522768897769,0.0933241758241758,0.0705622866218034
"17",3,17,0.00306,0.00238,0.219833194583195,0.103324175824176,0.0360244573054051
"18",3,18,0.00278,0.00244,0.156172161172161,0.0966575091575092,0.0181536577722675
"19",3,19,0.00274,0.00252,0.099468253968254,0.084435286935287,0.00920854353166508
"20",3,20,0.00264,0.00252,0.103661477411477,0.0877686202686203,0.00465790588361477
"21",3,21,0.0027,0.00266,0.0869352869352869,0.0869352869352869,0.00234695196377336
"22",3,22,0.00262,0.00258,0.0969352869352869,0.0869352869352869,0.00116360917343281
"23",3,23,0.00258,0.00254,0.0890781440781441,0.0890781440781441,0.000582100762601828
"24",3,24,0.0029,0.00286,0.110328144078144,0.110328144078144,0.000292348338648824
"25",3,25,0.00286,0.00286,0.110328144078144,0.110328144078144,0.0001463259205674
"26",4,1,0.09464,0.37894,0.0663603760644718,0.303703185440729,539.120543863697
"27",4,2,0.37264,0.34398,0.0690784981769661,0.189102122151833,318.553209490628
"28",4,3,0.46454,0.32562,0.142706680643665,0.13944945739022,174.338940039235
"29",4,4,0.46246,0.31452,0.205278271388551,0.109457093549472,91.7007532214229
"30",4,5,0.434,0.30264,0.228847604336626,0.102429932153785,47.304464171227
"31",4,6,0.41274,0.31578,0.219082718768526,0.0966749969531684,24.1565015181662
"32",4,7,0.38398,0.31374,0.196084205057184,0.0947154262238358,12.5669485627617
"33",4,8,0.3604,0.31614,0.168446566865143,0.0946095187230839,6.53153047827337
"34",4,9,0.34444,0.31976,0.144243161673008,0.0946886134489383,3.3985519530355
"35",4,10,0.33548,0.3198,0.125190280333374,0.0948267239585977,1.75873177207542
"36",4,11,0.32752,0.31866,0.112356319747864,0.0947610740744473,0.898148531337586
"37",4,12,0.32138,0.31682,0.105808967093814,0.0966626793994448,0.458530540468616
"38",4,13,0.31818,0.31574,0.10266765683212,0.0955426482230233,0.232196094267504
"39",4,14,0.31676,0.31538,0.0991392345626331,0.0960739042478906,0.116921900020408
"40",4,15,0.316,0.31554,0.0970510885229051,0.0956862972323088,0.0588504396205912
"41",4,16,0.3165,0.31616,0.0967254195613287,0.096110543095169,0.0295087019717649
"42",4,17,0.3163,0.31622,0.0969707077334918,0.0966764531885132,0.0147570838996434
"43",4,18,0.31636,0.31618,0.0968375222307748,0.0965963352865504,0.00737750297714077
"44",4,19,0.31722,0.3172,0.0968388892323616,0.0967668969316211,0.00368171145749663
"45",4,20,0.31538,0.31536,0.0967912509245113,0.0967486731287,0.00184562742861512
"46",4,21,0.3163,0.3163,0.0971367811074464,0.0971367811074464,0.000921617529282472
"47",4,22,0.31592,0.3159,0.0972176830131022,0.0971690763047727,0.000462375383781865
"48",4,23,0.31578,0.31578,0.0970595055492469,0.0970595055492469,0.000231124972502118
