"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.678,0.678,0.7,0.674,0.664
"2",2,0.68,0.68,0.686,0.68,0.668
"3",3,0.688,0.688,0.71,0.688,0.676
"4",4,0.642,0.642,0.682,0.642,0.634
"5",5,0.674,0.676,0.668,0.676,0.662
"6",6,0.648,0.652,0.666,0.652,0.644
"7",7,0.66,0.66,0.688,0.66,0.664
"8",8,0.662,0.66,0.698,0.66,0.646
"9",9,0.676,0.676,0.69,0.676,0.666
"10",10,0.626,0.626,0.646,0.626,0.608
"11",11,0.658,0.656,0.684,0.656,0.646
"12",12,0.636,0.632,0.648,0.632,0.618
"13",13,0.662,0.662,0.676,0.662,0.64
"14",14,0.67,0.666,0.7,0.666,0.64
"15",15,0.638,0.638,0.638,0.638,0.628
"16",16,0.646,0.646,0.66,0.646,0.642
"17",17,0.684,0.684,0.702,0.682,0.666
"18",18,0.658,0.658,0.678,0.658,0.65
"19",19,0.654,0.654,0.678,0.654,0.648
"20",20,0.618,0.618,0.64,0.618,0.608
"21",21,0.662,0.662,0.684,0.662,0.65
"22",22,0.642,0.642,0.668,0.642,0.632
"23",23,0.642,0.644,0.666,0.642,0.628
"24",24,0.692,0.692,0.706,0.692,0.68
"25",25,0.666,0.666,0.68,0.666,0.664
"26",26,0.656,0.656,0.682,0.656,0.646
"27",27,0.65,0.652,0.68,0.652,0.63
"28",28,0.664,0.666,0.682,0.666,0.648
"29",29,0.618,0.618,0.614,0.618,0.606
"30",30,0.622,0.624,0.648,0.624,0.626
"31",31,0.7,0.7,0.708,0.7,0.692
"32",32,0.65,0.648,0.67,0.65,0.626
"33",33,0.67,0.674,0.684,0.674,0.658
"34",34,0.69,0.69,0.698,0.69,0.678
"35",35,0.648,0.648,0.672,0.648,0.64
"36",36,0.666,0.666,0.676,0.662,0.658
"37",37,0.68,0.682,0.706,0.682,0.66
"38",38,0.638,0.638,0.658,0.638,0.626
"39",39,0.66,0.66,0.664,0.66,0.63
"40",40,0.65,0.648,0.672,0.648,0.63
"41",41,0.638,0.638,0.656,0.638,0.632
"42",42,0.688,0.692,0.716,0.692,0.682
"43",43,0.662,0.662,0.682,0.662,0.648
"44",44,0.622,0.622,0.642,0.62,0.618
"45",45,0.652,0.652,0.686,0.652,0.652
"46",46,0.646,0.646,0.662,0.646,0.636
"47",47,0.678,0.676,0.694,0.676,0.66
"48",48,0.664,0.666,0.7,0.664,0.658
"49",49,0.62,0.62,0.648,0.62,0.626
"50",50,0.65,0.65,0.666,0.652,0.628
