"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.0675675675675676
"2",2,0,0,0,0,0,0,0,0,0,0.109859154929577
"3",3,0,0,0,0,0,0,0,0,0,0.0971128608923885
"4",4,0,0,0,0,0,0,0,0,0,0.0764872521246459
"5",5,0,0,0,0,0,0,0,0,0,0.0809399477806789
"6",6,0,0,0,0,0,0,0,0,0,0.0870712401055409
"7",7,0,0,0,0,0,0,0,0,0,0.130548302872063
"8",8,0,0,0,0,0,0,0,0,0,0.09375
"9",9,0,0,0,0,0,0,0,0,0,0.0847457627118644
"10",10,0,0,0,0,0,0,0,0,0,0.0880829015544041
"11",11,0,0,0,0,0,0,0,0,0,0.0939226519337017
"12",12,0,0,0,0,0,0,0,0,0,0.102777777777778
"13",13,0,0,0,0,0,0,0,0,0,0.0744985673352436
"14",14,0,0,0,0,0,0,0,0,0,0.107969151670951
"15",15,0,0,0,0,0,0,0,0,0,0.0685714285714286
"16",16,0,0,0,0,0,0,0,0,0,0.0714285714285714
"17",17,0,0,0,0,0,0,0,0,0,0.101298701298701
"18",18,0,0,0,0,0,0,0,0,0,0.0740740740740741
"19",19,0,0,0,0,0,0,0,0,0,0.0798898071625344
"20",20,0,0,0,0,0,0,0,0,0,0.0767195767195767
"21",21,0,0,0,0,0,0,0,0,0,0.0889487870619946
"22",22,0,0,0,0,0,0,0,0,0,0.0888888888888889
"23",23,0,0,0,0,0,0,0,0,0,0.0785498489425982
"24",24,0,0,0,0,0,0,0,0,0,0.0939947780678851
"25",25,0,0,0,0,0,0,0,0,0,0.0872093023255814
"26",26,0,0,0,0,0,0,0,0,0,0.074468085106383
"27",27,0,0,0,0,0,0,0,0,0,0.101063829787234
"28",28,0,0,0,0,0,0,0,0,0,0.117333333333333
"29",29,0,0,0,0,0,0,0,0,0,0.0819672131147541
"30",30,0,0,0,0,0,0,0,0,0,0.07202216066482
"31",31,0,0,0,0,0,0,0,0,0,0.104972375690608
"32",32,0,0,0,0,0,0,0,0,0,0.0710382513661202
"33",33,0,0,0,0,0,0,0,0,0,0.0780346820809249
"34",34,0,0,0,0,0,0,0,0,0,0.0851648351648352
"35",35,0,0,0,0,0,0,0,0,0,0.100817438692098
"36",36,0,0,0,0,0,0,0,0,0,0.0929577464788732
"37",37,0,0,0,0,0,0,0,0,0,0.0859375
"38",38,0,0,0,0,0,0,0,0,0,0.119791666666667
"39",39,0,0,0,0,0,0,0,0,0,0.0972972972972973
"40",40,0,0,0,0,0,0,0,0,0,0.0853994490358127
"41",41,0,0,0,0,0,0,0,0,0,0.0783783783783784
"42",42,0,0,0,0,0,0,0,0,0,0.0677506775067751
"43",43,0,0,0,0,0,0,0,0,0,0.0961038961038961
"44",44,0,0,0,0,0,0,0,0,0,0.0762942779291553
"45",45,0,0,0,0,0,0,0,0,0,0.0945945945945946
"46",46,0,0,0,0,0,0,0,0,0,0.0765027322404372
"47",47,0,0,0,0,0,0,0,0,0,0.0976863753213368
"48",48,0,0,0,0,0,0,0,0,0,0.0698324022346369
"49",49,0,0,0,0,0,0,0,0,0,0.100529100529101
"50",50,0,0,0,0,0,0,0,0,0,0.0911528150134048
