"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.69
"2",2,0,0,0,0,0,0,0,0,0,0.632
"3",3,0,0,0,0,0,0,0,0,0,0.688
"4",4,0,0,0,0,0,0,0,0,0,0.652
"5",5,0,0,0,0,0,0,0,0,0,0.704
"6",6,0,0,0,0,0,0,0,0,0,0.692
"7",7,0,0,0,0,0,0,0,0,0,0.666
"8",8,0,0,0,0,0,0,0,0,0,0.696
"9",9,0,0,0,0,0,0,0,0,0,0.648
"10",10,0,0,0,0,0,0,0,0,0,0.704
"11",11,0,0,0,0,0,0,0,0,0,0.656
"12",12,0,0,0,0,0,0,0,0,0,0.646
"13",13,0,0,0,0,0,0,0,0,0,0.646
"14",14,0,0,0,0,0,0,0,0,0,0.694
"15",15,0,0,0,0,0,0,0,0,0,0.652
"16",16,0,0,0,0,0,0,0,0,0,0.65
"17",17,0,0,0,0,0,0,0,0,0,0.692
"18",18,0,0,0,0,0,0,0,0,0,0.65
"19",19,0,0,0,0,0,0,0,0,0,0.668
"20",20,0,0,0,0,0,0,0,0,0,0.698
"21",21,0,0,0,0,0,0,0,0,0,0.676
"22",22,0,0,0,0,0,0,0,0,0,0.656
"23",23,0,0,0,0,0,0,0,0,0,0.61
"24",24,0,0,0,0,0,0,0,0,0,0.694
"25",25,0,0,0,0,0,0,0,0,0,0.628
"26",26,0,0,0,0,0,0,0,0,0,0.696
"27",27,0,0,0,0,0,0,0,0,0,0.676
"28",28,0,0,0,0,0,0,0,0,0,0.662
"29",29,0,0,0,0,0,0,0,0,0,0.672
"30",30,0,0,0,0,0,0,0,0,0,0.67
"31",31,0,0,0,0,0,0,0,0,0,0.648
"32",32,0,0,0,0,0,0,0,0,0,0.68
"33",33,0,0,0,0,0,0,0,0,0,0.638
"34",34,0,0,0,0,0,0,0,0,0,0.666
"35",35,0,0,0,0,0,0,0,0,0,0.66
"36",36,0,0,0,0,0,0,0,0,0,0.644
"37",37,0,0,0,0,0,0,0,0,0,0.702
"38",38,0,0,0,0,0,0,0,0,0,0.676
"39",39,0,0,0,0,0,0,0,0,0,0.668
"40",40,0,0,0,0,0,0,0,0,0,0.664
"41",41,0,0,0,0,0,0,0,0,0,0.682
"42",42,0,0,0,0,0,0,0,0,0,0.688
"43",43,0,0,0,0,0,0,0,0,0,0.696
"44",44,0,0,0,0,0,0,0,0,0,0.678
"45",45,0,0,0,0,0,0,0,0,0,0.67
"46",46,0,0,0,0,0,0,0,0,0,0.676
"47",47,0,0,0,0,0,0,0,0,0,0.702
"48",48,0,0,0,0,0,0,0,0,0,0.666
"49",49,0,0,0,0,0,0,0,0,0,0.68
"50",50,0,0,0,0,0,0,0,0,0,0.678
