"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.162
"2",2,0,0,0,0,0,0.23
"3",3,0,0,0,0,0,0.19
"4",4,0,0,0,0,0,0.094
"5",5,0,0,0,0,0,0.262
"6",6,0,0,0,0,0,0.204
"7",7,0,0,0,0,0,0.23
"8",8,0,0,0,0,0,0.218
"9",9,0,0,0,0,0,0.098
"10",10,0,0,0,0,0,0.164
"11",11,0,0,0,0,0,0.224
"12",12,0,0,0,0,0,0.124
"13",13,0,0,0,0,0,0.198
"14",14,0,0,0,0,0,0.222
"15",15,0,0,0,0,0,0.19
"16",16,0,0,0,0,0,0.272
"17",17,0,0,0,0,0,0.134
"18",18,0,0,0,0,0,0.15
"19",19,0,0,0,0,0,0.23
"20",20,0,0,0,0,0,0.17
"21",21,0,0,0,0,0,0.236
"22",22,0,0,0,0,0,0.192
"23",23,0,0,0,0,0,0.194
"24",24,0,0,0,0,0,0.26
"25",25,0,0,0,0,0,0.078
"26",26,0,0,0,0,0,0.252
"27",27,0,0,0,0,0,0.166
"28",28,0,0,0,0,0,0.212
"29",29,0,0,0,0,0,0.182
"30",30,0,0,0,0,0,0.202
"31",31,0,0,0,0,0,0.204
"32",32,0,0,0,0,0,0.204
"33",33,0,0,0,0,0,0.108
"34",34,0,0,0,0,0,0.22
"35",35,0,0,0,0,0,0.224
"36",36,0,0,0,0,0,0.276
"37",37,0,0,0,0,0,0.182
"38",38,0,0,0,0,0,0.154
"39",39,0,0,0,0,0,0.174
"40",40,0,0,0,0,0,0.222
"41",41,0,0,0,0,0,0.2
"42",42,0,0,0,0,0,0.162
"43",43,0,0,0,0,0,0.21
"44",44,0,0,0,0,0,0.274
"45",45,0,0,0,0,0,0.19
"46",46,0,0,0,0,0,0.144
"47",47,0,0,0,0,0,0.15
"48",48,0,0,0,0,0,0.218
"49",49,0,0,0,0,0,0.196
"50",50,0,0,0,0,0,0.27
