"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.0788530465949821,0.0788530465949821,0.0803858520900322,0.0788530465949821,0.0979591836734694
"2",2,0.0808823529411765,0.0808823529411765,0.0756578947368421,0.0808823529411765,0.0867579908675799
"3",3,0.0830324909747292,0.0830324909747292,0.0705128205128205,0.0830324909747292,0.0540540540540541
"4",4,0.065625,0.0685358255451713,0.0699708454810496,0.065625,0.0509090909090909
"5",5,0.0973782771535581,0.100746268656716,0.0804195804195804,0.100746268656716,0.0862068965517241
"6",6,0.103975535168196,0.101851851851852,0.102564102564103,0.101538461538462,0.103321033210332
"7",7,0.089041095890411,0.089041095890411,0.086687306501548,0.0862068965517241,0.0942622950819672
"8",8,0.0852713178294574,0.0888030888030888,0.0582191780821918,0.0852713178294574,0.0875576036866359
"9",9,0.0889679715302491,0.0889679715302491,0.0620915032679739,0.0889679715302491,0.0785123966942149
"10",10,0.0950819672131148,0.0950819672131148,0.10632183908046,0.0950819672131148,0.10727969348659
"11",11,0.105660377358491,0.112359550561798,0.0960264900662252,0.106060606060606,0.120171673819742
"12",12,0.102473498233216,0.106382978723404,0.0996884735202492,0.103202846975089,0.102880658436214
"13",13,0.0848708487084871,0.0848708487084871,0.0894039735099338,0.0851851851851852,0.0901639344262295
"14",14,0.108771929824561,0.111498257839721,0.0647249190938511,0.111498257839721,0.111111111111111
"15",15,0.0886524822695035,0.0854092526690391,0.0854430379746835,0.0821428571428571,0.104
"16",16,0.0932835820895522,0.0861423220973783,0.092948717948718,0.0867924528301887,0.104072398190045
"17",17,0.06640625,0.0627450980392157,0.0540540540540541,0.0627450980392157,0.0818181818181818
"18",18,0.0867924528301887,0.083969465648855,0.0786163522012579,0.083969465648855,0.0890688259109312
"19",19,0.0576131687242798,0.0578512396694215,0.111464968152866,0.0578512396694215,0.0628019323671498
"20",20,0.113475177304965,0.115789473684211,0.0838509316770186,0.110320284697509,0.105691056910569
"21",21,0.0697674418604651,0.0694980694980695,0.0801282051282051,0.0697674418604651,0.0803571428571429
"22",22,0.0771929824561404,0.0771929824561404,0.0909090909090909,0.0771929824561404,0.0784313725490196
"23",23,0.112280701754386,0.115789473684211,0.109375,0.115384615384615,0.108333333333333
"24",24,0.08984375,0.08984375,0.0921501706484642,0.0862745098039216,0.0710900473933649
"25",25,0.170818505338078,0.170818505338078,0.116279069767442,0.170818505338078,0.137931034482759
"26",26,0.104693140794224,0.10431654676259,0.125391849529781,0.104693140794224,0.0909090909090909
"27",27,0.0959409594095941,0.0992647058823529,0.101639344262295,0.0929368029739777,0.085972850678733
"28",28,0.0730769230769231,0.0697674418604651,0.0912162162162162,0.0733590733590734,0.0923076923076923
"29",29,0.0892193308550186,0.0892193308550186,0.112903225806452,0.0892193308550186,0.0884955752212389
"30",30,0.10958904109589,0.10958904109589,0.106824925816024,0.10958904109589,0.0857142857142857
"31",31,0.102990033222591,0.102990033222591,0.104651162790698,0.100334448160535,0.0916666666666667
"32",32,0.106896551724138,0.106529209621993,0.116207951070336,0.106529209621993,0.0856031128404669
"33",33,0.0769230769230769,0.0802919708029197,0.0688524590163934,0.0769230769230769,0.073394495412844
"34",34,0.106666666666667,0.100671140939597,0.0861538461538462,0.097972972972973,0.079646017699115
"35",35,0.0581818181818182,0.0579710144927536,0.0634920634920635,0.0583941605839416,0.0595744680851064
"36",36,0.125,0.12589928057554,0.118589743589744,0.12589928057554,0.126582278481013
"37",37,0.092741935483871,0.0890688259109312,0.0905923344947735,0.0890688259109312,0.080188679245283
"38",38,0.0958904109589041,0.0958904109589041,0.115044247787611,0.0958904109589041,0.065843621399177
"39",39,0.0859106529209622,0.0859106529209622,0.0830860534124629,0.0859106529209622,0.0952380952380952
"40",40,0.108303249097473,0.10752688172043,0.0726072607260726,0.107142857142857,0.12015503875969
"41",41,0.0714285714285714,0.0681818181818182,0.0563380281690141,0.0681818181818182,0.0892857142857143
"42",42,0.0802675585284281,0.0802675585284281,0.0970588235294118,0.0802675585284281,0.0643939393939394
"43",43,0.0759493670886076,0.0798319327731092,0.0921985815602837,0.0759493670886076,0.0846560846560847
"44",44,0.111510791366906,0.111510791366906,0.0875,0.111913357400722,0.109704641350211
"45",45,0.101503759398496,0.0984848484848485,0.0782312925170068,0.0988593155893536,0.0995475113122172
"46",46,0.1,0.0965250965250965,0.0926517571884984,0.09375,0.0863636363636364
"47",47,0.0833333333333333,0.0833333333333333,0.0652920962199313,0.0833333333333333,0.0478468899521531
"48",48,0.0968992248062016,0.0972762645914397,0.0993788819875776,0.0972762645914397,0.115044247787611
"49",49,0.0882352941176471,0.0879120879120879,0.0709219858156028,0.0912408759124088,0.0701754385964912
"50",50,0.0867924528301887,0.0833333333333333,0.0869565217391304,0.0836501901140684,0.081447963800905
