"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.308695652173913
"2",2,0,0,0,0,0,0,0,0,0.268691588785047
"3",3,0,0,0,0,0,0,0,0,0.296983758700696
"4",4,0,0,0,0,0,0,0,0,0.26241134751773
"5",5,0,0,0,0,0,0,0,0,0.22192513368984
"6",6,0,0,0,0,0,0,0,0,0.256658595641647
"7",7,0,0,0,0,0,0,0,0,0.225728155339806
"8",8,0,0,0,0,0,0,0,0,0.272093023255814
"9",9,0,0,0,0,0,0,0,0,0.216589861751152
"10",10,0,0,0,0,0,0,0,0,0.278801843317972
"11",11,0,0,0,0,0,0,0,0,0.232736572890026
"12",12,0,0,0,0,0,0,0,0,0.250585480093677
"13",13,0,0,0,0,0,0,0,0,0.308411214953271
"14",14,0,0,0,0,0,0,0,0,0.261501210653753
"15",15,0,0,0,0,0,0,0,0,0.261964735516373
"16",16,0,0,0,0,0,0,0,0,0.286697247706422
"17",17,0,0,0,0,0,0,0,0,0.260975609756098
"18",18,0,0,0,0,0,0,0,0,0.248138957816377
"19",19,0,0,0,0,0,0,0,0,0.303370786516854
"20",20,0,0,0,0,0,0,0,0,0.260663507109005
"21",21,0,0,0,0,0,0,0,0,0.295711060948081
"22",22,0,0,0,0,0,0,0,0,0.309368191721133
"23",23,0,0,0,0,0,0,0,0,0.28428927680798
"24",24,0,0,0,0,0,0,0,0,0.2675
"25",25,0,0,0,0,0,0,0,0,0.268408551068884
"26",26,0,0,0,0,0,0,0,0,0.269767441860465
"27",27,0,0,0,0,0,0,0,0,0.28498727735369
"28",28,0,0,0,0,0,0,0,0,0.235751295336788
"29",29,0,0,0,0,0,0,0,0,0.31063829787234
"30",30,0,0,0,0,0,0,0,0,0.26161369193154
"31",31,0,0,0,0,0,0,0,0,0.283482142857143
"32",32,0,0,0,0,0,0,0,0,0.302895322939866
"33",33,0,0,0,0,0,0,0,0,0.270531400966184
"34",34,0,0,0,0,0,0,0,0,0.249343832020997
"35",35,0,0,0,0,0,0,0,0,0.28921568627451
"36",36,0,0,0,0,0,0,0,0,0.267605633802817
"37",37,0,0,0,0,0,0,0,0,0.26491646778043
"38",38,0,0,0,0,0,0,0,0,0.255369928400955
"39",39,0,0,0,0,0,0,0,0,0.297356828193833
"40",40,0,0,0,0,0,0,0,0,0.258293838862559
"41",41,0,0,0,0,0,0,0,0,0.288018433179723
"42",42,0,0,0,0,0,0,0,0,0.280575539568345
"43",43,0,0,0,0,0,0,0,0,0.263157894736842
"44",44,0,0,0,0,0,0,0,0,0.335483870967742
"45",45,0,0,0,0,0,0,0,0,0.241730279898219
"46",46,0,0,0,0,0,0,0,0,0.277027027027027
"47",47,0,0,0,0,0,0,0,0,0.286031042128603
"48",48,0,0,0,0,0,0,0,0,0.271867612293144
"49",49,0,0,0,0,0,0,0,0,0.295612009237875
"50",50,0,0,0,0,0,0,0,0,0.298013245033113
