"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.173529411764706
"2",2,0,0,0,0,0,0,0,0.153846153846154
"3",3,0,0,0,0,0,0,0,0.194285714285714
"4",4,0,0,0,0,0,0,0,0.126126126126126
"5",5,0,0,0,0,0,0,0,0.163204747774481
"6",6,0,0,0,0,0,0,0,0.174515235457064
"7",7,0,0,0,0,0,0,0,0.162857142857143
"8",8,0,0,0,0,0,0,0,0.179063360881543
"9",9,0,0,0,0,0,0,0,0.142405063291139
"10",10,0,0,0,0,0,0,0,0.170454545454545
"11",11,0,0,0,0,0,0,0,0.175287356321839
"12",12,0,0,0,0,0,0,0,0.188571428571429
"13",13,0,0,0,0,0,0,0,0.179271708683473
"14",14,0,0,0,0,0,0,0,0.137566137566138
"15",15,0,0,0,0,0,0,0,0.206303724928367
"16",16,0,0,0,0,0,0,0,0.170278637770898
"17",17,0,0,0,0,0,0,0,0.175074183976261
"18",18,0,0,0,0,0,0,0,0.136666666666667
"19",19,0,0,0,0,0,0,0,0.161931818181818
"20",20,0,0,0,0,0,0,0,0.157556270096463
"21",21,0,0,0,0,0,0,0,0.165625
"22",22,0,0,0,0,0,0,0,0.168639053254438
"23",23,0,0,0,0,0,0,0,0.157575757575758
"24",24,0,0,0,0,0,0,0,0.132203389830508
"25",25,0,0,0,0,0,0,0,0.166666666666667
"26",26,0,0,0,0,0,0,0,0.171597633136095
"27",27,0,0,0,0,0,0,0,0.228116710875332
"28",28,0,0,0,0,0,0,0,0.175953079178886
"29",29,0,0,0,0,0,0,0,0.194767441860465
"30",30,0,0,0,0,0,0,0,0.171919770773639
"31",31,0,0,0,0,0,0,0,0.185507246376812
"32",32,0,0,0,0,0,0,0,0.151933701657459
"33",33,0,0,0,0,0,0,0,0.184466019417476
"34",34,0,0,0,0,0,0,0,0.168639053254438
"35",35,0,0,0,0,0,0,0,0.161585365853659
"36",36,0,0,0,0,0,0,0,0.154761904761905
"37",37,0,0,0,0,0,0,0,0.135542168674699
"38",38,0,0,0,0,0,0,0,0.157407407407407
"39",39,0,0,0,0,0,0,0,0.138036809815951
"40",40,0,0,0,0,0,0,0,0.164345403899721
"41",41,0,0,0,0,0,0,0,0.148606811145511
"42",42,0,0,0,0,0,0,0,0.195710455764075
"43",43,0,0,0,0,0,0,0,0.158469945355191
"44",44,0,0,0,0,0,0,0,0.156804733727811
"45",45,0,0,0,0,0,0,0,0.19672131147541
"46",46,0,0,0,0,0,0,0,0.151862464183381
"47",47,0,0,0,0,0,0,0,0.168711656441718
"48",48,0,0,0,0,0,0,0,0.155172413793103
"49",49,0,0,0,0,0,0,0,0.193820224719101
"50",50,0,0,0,0,0,0,0,0.211764705882353
