"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.59,0.622,0,0.484,0.292,0.59
"2",2,0,0.534,0.584,0,0.414,0.196,0.536
"3",3,0,0.606,0.642,0,0.504,0.282,0.606
"4",4,0,0.55,0.592,0,0.444,0.19,0.552
"5",5,0,0.572,0.618,0,0.48,0.274,0.582
"6",6,0,0.578,0.634,0,0.468,0.224,0.576
"7",7,0,0.592,0.616,0,0.468,0.242,0.592
"8",8,0,0.592,0.622,0,0.484,0.268,0.592
"9",9,0,0.61,0.672,0,0.546,0.302,0.608
"10",10,0,0.538,0.59,0,0.458,0.236,0.538
"11",11,0,0.622,0.638,0,0.492,0.312,0.624
"12",12,0,0.558,0.59,0,0.456,0.226,0.56
"13",13,0,0.612,0.67,0,0.554,0.292,0.624
"14",14,0,0.578,0.62,0,0.476,0.274,0.578
"15",15,0,0.56,0.608,0,0.472,0.272,0.56
"16",16,0,0.596,0.628,0,0.46,0.278,0.596
"17",17,0,0.582,0.614,0,0.462,0.234,0.582
"18",18,0,0.572,0.622,0,0.518,0.28,0.572
"19",19,0,0.572,0.614,0,0.464,0.258,0.572
"20",20,0,0.564,0.618,0,0.498,0.206,0.566
"21",21,0,0.554,0.59,0,0.46,0.244,0.554
"22",22,0,0.582,0.648,0,0.482,0.292,0.584
"23",23,0,0.61,0.656,0,0.518,0.272,0.61
"24",24,0,0.5,0.55,0,0.452,0.17,0.504
"25",25,0,0.62,0.65,0,0.502,0.338,0.62
"26",26,0,0.55,0.59,0,0.45,0.228,0.55
"27",27,0,0.608,0.654,0,0.49,0.308,0.61
"28",28,0,0.614,0.658,0,0.524,0.322,0.614
"29",29,0,0.616,0.64,0,0.492,0.276,0.616
"30",30,0,0.606,0.646,0,0.504,0.256,0.606
"31",31,0,0.596,0.62,0,0.518,0.32,0.596
"32",32,0,0.598,0.642,0,0.504,0.266,0.596
"33",33,0,0.574,0.644,0,0.468,0.214,0.578
"34",34,0,0.56,0.592,0,0.47,0.262,0.562
"35",35,0,0.572,0.608,0,0.452,0.234,0.572
"36",36,0,0.59,0.624,0,0.45,0.268,0.59
"37",37,0,0.546,0.612,0,0.442,0.204,0.548
"38",38,0,0.62,0.658,0,0.518,0.236,0.62
"39",39,0,0.626,0.648,0,0.522,0.322,0.626
"40",40,0,0.55,0.606,0,0.456,0.242,0.554
"41",41,0,0.594,0.634,0,0.472,0.234,0.594
"42",42,0,0.562,0.594,0,0.47,0.266,0.566
"43",43,0,0.542,0.588,0,0.464,0.252,0.542
"44",44,0,0.572,0.606,0,0.474,0.272,0.576
"45",45,0,0.566,0.594,0,0.512,0.318,0.568
"46",46,0,0.646,0.674,0,0.534,0.344,0.646
"47",47,0,0.572,0.628,0,0.502,0.248,0.572
"48",48,0,0.6,0.642,0,0.492,0.278,0.598
"49",49,0,0.61,0.656,0,0.562,0.26,0.61
"50",50,0,0.578,0.62,0,0.476,0.25,0.578
