"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.674,0.7,0,0.664,0.62,0.674
"2",2,0,0.666,0.7,0,0.63,0.57,0.666
"3",3,0,0.68,0.7,0,0.648,0.57,0.68
"4",4,0,0.666,0.69,0,0.654,0.588,0.666
"5",5,0,0.632,0.664,0,0.618,0.562,0.632
"6",6,0,0.666,0.69,0,0.63,0.568,0.666
"7",7,0,0.734,0.74,0,0.688,0.632,0.734
"8",8,0,0.672,0.688,0,0.66,0.61,0.672
"9",9,0,0.692,0.718,0,0.668,0.61,0.692
"10",10,0,0.64,0.646,0,0.604,0.55,0.64
"11",11,0,0.616,0.624,0,0.578,0.532,0.616
"12",12,0,0.636,0.652,0,0.598,0.542,0.636
"13",13,0,0.66,0.666,0,0.642,0.594,0.662
"14",14,0,0.668,0.68,0,0.634,0.564,0.668
"15",15,0,0.642,0.672,0,0.604,0.52,0.642
"16",16,0,0.658,0.674,0,0.61,0.54,0.658
"17",17,0,0.664,0.67,0,0.63,0.586,0.664
"18",18,0,0.654,0.682,0,0.62,0.538,0.652
"19",19,0,0.646,0.666,0,0.606,0.536,0.642
"20",20,0,0.65,0.668,0,0.61,0.56,0.65
"21",21,0,0.64,0.67,0,0.622,0.576,0.64
"22",22,0,0.658,0.678,0,0.648,0.594,0.658
"23",23,0,0.692,0.698,0,0.658,0.606,0.69
"24",24,0,0.684,0.704,0,0.642,0.584,0.684
"25",25,0,0.666,0.678,0,0.648,0.6,0.666
"26",26,0,0.7,0.712,0,0.652,0.592,0.7
"27",27,0,0.644,0.664,0,0.614,0.562,0.644
"28",28,0,0.644,0.66,0,0.604,0.556,0.644
"29",29,0,0.716,0.726,0,0.674,0.628,0.716
"30",30,0,0.674,0.696,0,0.63,0.576,0.674
"31",31,0,0.664,0.692,0,0.634,0.576,0.664
"32",32,0,0.67,0.69,0,0.612,0.554,0.672
"33",33,0,0.656,0.686,0,0.624,0.582,0.654
"34",34,0,0.688,0.722,0,0.664,0.602,0.692
"35",35,0,0.694,0.712,0,0.654,0.606,0.694
"36",36,0,0.63,0.654,0,0.592,0.538,0.63
"37",37,0,0.7,0.724,0,0.69,0.63,0.7
"38",38,0,0.658,0.676,0,0.644,0.578,0.658
"39",39,0,0.648,0.666,0,0.638,0.568,0.648
"40",40,0,0.676,0.692,0,0.624,0.568,0.676
"41",41,0,0.67,0.698,0,0.656,0.58,0.67
"42",42,0,0.652,0.666,0,0.624,0.578,0.652
"43",43,0,0.668,0.686,0,0.642,0.61,0.668
"44",44,0,0.678,0.694,0,0.624,0.57,0.678
"45",45,0,0.672,0.696,0,0.656,0.588,0.67
"46",46,0,0.634,0.654,0,0.598,0.538,0.634
"47",47,0,0.68,0.704,0,0.672,0.614,0.68
"48",48,0,0.69,0.696,0,0.654,0.606,0.69
"49",49,0,0.67,0.678,0,0.632,0.564,0.67
"50",50,0,0.64,0.654,0,0.616,0.564,0.642
