"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.15
"2",2,0,0,0,0,0,0.058
"3",3,0,0,0,0,0,0.1
"4",4,0,0,0,0,0,0
"5",5,0,0,0,0,0,0
"6",6,0,0,0,0,0,0.012
"7",7,0,0,0,0,0,0.016
"8",8,0,0,0,0,0,0.002
"9",9,0,0,0,0,0,0
"10",10,0,0,0,0,0,0.092
"11",11,0,0,0,0,0,0
"12",12,0,0,0,0,0,0.008
"13",13,0,0,0,0,0,0
"14",14,0,0,0,0,0,0.036
"15",15,0,0,0,0,0,0.034
"16",16,0,0,0,0,0,0.12
"17",17,0,0,0,0,0,0.138
"18",18,0,0,0,0,0,0
"19",19,0,0,0,0,0,0
"20",20,0,0,0,0,0,0.016
"21",21,0,0,0,0,0,0.014
"22",22,0,0,0,0,0,0.13
"23",23,0,0,0,0,0,0
"24",24,0,0,0,0,0,0.012
"25",25,0,0,0,0,0,0.018
"26",26,0,0,0,0,0,0
"27",27,0,0,0,0,0,0
"28",28,0,0,0,0,0,0.072
"29",29,0,0,0,0,0,0.108
"30",30,0,0,0,0,0,0.088
"31",31,0,0,0,0,0,0.094
"32",32,0,0,0,0,0,0.018
"33",33,0,0,0,0,0,0
"34",34,0,0,0,0,0,0
"35",35,0,0,0,0,0,0.058
"36",36,0,0,0,0,0,0.014
"37",37,0,0,0,0,0,0.074
"38",38,0,0,0,0,0,0.034
"39",39,0,0,0,0,0,0
"40",40,0,0,0,0,0,0.066
"41",41,0,0,0,0,0,0.02
"42",42,0,0,0,0,0,0
"43",43,0,0,0,0,0,0.056
"44",44,0,0,0,0,0,0
"45",45,0,0,0,0,0,0.01
"46",46,0,0,0,0,0,0.116
"47",47,0,0,0,0,0,0
"48",48,0,0,0,0,0,0.006
"49",49,0,0,0,0,0,0.002
"50",50,0,0,0,0,0,0.122
