"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.13030303030303
"2",2,0,0,0,0,0,0,0,0,0.13968253968254
"3",3,0,0,0,0,0,0,0,0,0.12037037037037
"4",4,0,0,0,0,0,0,0,0,0.101796407185629
"5",5,0,0,0,0,0,0,0,0,0.0853242320819113
"6",6,0,0,0,0,0,0,0,0,0.108108108108108
"7",7,0,0,0,0,0,0,0,0,0.1198738170347
"8",8,0,0,0,0,0,0,0,0,0.103225806451613
"9",9,0,0,0,0,0,0,0,0,0.13166144200627
"10",10,0,0,0,0,0,0,0,0,0.129449838187702
"11",11,0,0,0,0,0,0,0,0,0.107142857142857
"12",12,0,0,0,0,0,0,0,0,0.0863309352517986
"13",13,0,0,0,0,0,0,0,0,0.10126582278481
"14",14,0,0,0,0,0,0,0,0,0.0950920245398773
"15",15,0,0,0,0,0,0,0,0,0.0883280757097792
"16",16,0,0,0,0,0,0,0,0,0.0973154362416107
"17",17,0,0,0,0,0,0,0,0,0.132352941176471
"18",18,0,0,0,0,0,0,0,0,0.134057971014493
"19",19,0,0,0,0,0,0,0,0,0.117469879518072
"20",20,0,0,0,0,0,0,0,0,0.137931034482759
"21",21,0,0,0,0,0,0,0,0,0.0944625407166124
"22",22,0,0,0,0,0,0,0,0,0.0771704180064309
"23",23,0,0,0,0,0,0,0,0,0.152380952380952
"24",24,0,0,0,0,0,0,0,0,0.152777777777778
"25",25,0,0,0,0,0,0,0,0,0.114114114114114
"26",26,0,0,0,0,0,0,0,0,0.105263157894737
"27",27,0,0,0,0,0,0,0,0,0.0711864406779661
"28",28,0,0,0,0,0,0,0,0,0.111464968152866
"29",29,0,0,0,0,0,0,0,0,0.0709677419354839
"30",30,0,0,0,0,0,0,0,0,0.113149847094801
"31",31,0,0,0,0,0,0,0,0,0.114457831325301
"32",32,0,0,0,0,0,0,0,0,0.102649006622517
"33",33,0,0,0,0,0,0,0,0,0.102102102102102
"34",34,0,0,0,0,0,0,0,0,0.0923566878980892
"35",35,0,0,0,0,0,0,0,0,0.109677419354839
"36",36,0,0,0,0,0,0,0,0,0.122448979591837
"37",37,0,0,0,0,0,0,0,0,0.10828025477707
"38",38,0,0,0,0,0,0,0,0,0.120634920634921
"39",39,0,0,0,0,0,0,0,0,0.114649681528662
"40",40,0,0,0,0,0,0,0,0,0.126126126126126
"41",41,0,0,0,0,0,0,0,0,0.119496855345912
"42",42,0,0,0,0,0,0,0,0,0.111111111111111
"43",43,0,0,0,0,0,0,0,0,0.0972644376899696
"44",44,0,0,0,0,0,0,0,0,0.139318885448916
"45",45,0,0,0,0,0,0,0,0,0.0675675675675676
"46",46,0,0,0,0,0,0,0,0,0.128440366972477
"47",47,0,0,0,0,0,0,0,0,0.0958466453674121
"48",48,0,0,0,0,0,0,0,0,0.0949152542372881
"49",49,0,0,0,0,0,0,0,0,0.116352201257862
"50",50,0,0,0,0,0,0,0,0,0.121661721068249
