"","Algorithm","Power","FDR"
"1","1D_NPMLE",0.15944,0.0822038261746793
"2","2D_NPMLE",0.48576,0.0953114326459187
"3","Welch",0.01568,0.0255851291954233
"4","B_F",0,0
"5","t_test",0.16284,0.082651666422351
