"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.106,0.448,0,0,0,0.108
"2",2,0,0.084,0.43,0,0.01,0,0.082
"3",3,0,0.194,0.516,0,0.032,0,0.194
"4",4,0,0.148,0.476,0,0.02,0,0.148
"5",5,0,0.164,0.514,0,0.014,0,0.164
"6",6,0,0.148,0.448,0,0.038,0,0.148
"7",7,0,0.12,0.486,0,0.012,0,0.128
"8",8,0,0.188,0.522,0,0,0,0.192
"9",9,0,0.15,0.436,0,0.008,0,0.15
"10",10,0,0.152,0.47,0,0.01,0,0.168
"11",11,0,0.102,0.524,0,0.028,0,0.102
"12",12,0,0.148,0.466,0,0.002,0,0.156
"13",13,0,0.144,0.504,0,0.008,0,0.144
"14",14,0,0.126,0.488,0,0,0,0.136
"15",15,0,0.154,0.488,0,0.028,0,0.16
"16",16,0,0.164,0.45,0,0.012,0,0.176
"17",17,0,0.19,0.504,0,0.018,0,0.218
"18",18,0,0.136,0.474,0,0.026,0,0.136
"19",19,0,0.108,0.438,0,0.046,0,0.108
"20",20,0,0.158,0.51,0,0.002,0,0.156
"21",21,0,0.188,0.506,0,0.004,0,0.188
"22",22,0,0.186,0.502,0,0.018,0,0.184
"23",23,0,0.176,0.488,0,0,0,0.182
"24",24,0,0.234,0.542,0,0.004,0,0.232
"25",25,0,0.152,0.5,0,0.016,0,0.162
"26",26,0,0.12,0.48,0,0,0,0.12
"27",27,0,0.094,0.48,0,0,0,0.1
"28",28,0,0.182,0.46,0,0,0,0.182
"29",29,0,0.186,0.496,0,0.018,0,0.186
"30",30,0,0.174,0.486,0,0.016,0,0.174
"31",31,0,0.164,0.53,0,0.024,0,0.166
"32",32,0,0.174,0.522,0,0.04,0,0.206
"33",33,0,0.17,0.514,0,0.024,0,0.17
"34",34,0,0.108,0.458,0,0.018,0,0.108
"35",35,0,0.198,0.476,0,0.022,0,0.198
"36",36,0,0.158,0.468,0,0.008,0,0.166
"37",37,0,0.14,0.46,0,0.002,0,0.14
"38",38,0,0.208,0.452,0,0.004,0,0.208
"39",39,0,0.178,0.478,0,0.028,0,0.178
"40",40,0,0.104,0.484,0,0.016,0,0.104
"41",41,0,0.144,0.484,0,0.008,0,0.144
"42",42,0,0.202,0.488,0,0.024,0,0.21
"43",43,0,0.204,0.482,0,0.062,0,0.204
"44",44,0,0.176,0.498,0,0.006,0,0.176
"45",45,0,0.182,0.514,0,0.014,0,0.182
"46",46,0,0.172,0.512,0,0,0,0.172
"47",47,0,0.216,0.49,0,0.052,0,0.216
"48",48,0,0.118,0.488,0,0,0,0.12
"49",49,0,0.232,0.51,0,0.002,0,0.238
"50",50,0,0.148,0.448,0,0.04,0,0.152
