"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.302
"2",2,0,0,0,0,0,0.238
"3",3,0,0,0,0,0,0.264
"4",4,0,0,0,0,0,0.304
"5",5,0,0,0,0,0,0.136
"6",6,0,0,0,0,0,0.238
"7",7,0,0,0,0,0,0.352
"8",8,0,0,0,0,0,0.292
"9",9,0,0,0,0,0,0.294
"10",10,0,0,0,0,0,0.26
"11",11,0,0,0,0,0,0.32
"12",12,0,0,0,0,0,0.244
"13",13,0,0,0,0,0,0.296
"14",14,0,0,0,0,0,0.296
"15",15,0,0,0,0,0,0.334
"16",16,0,0,0,0,0,0.296
"17",17,0,0,0,0,0,0.21
"18",18,0,0,0,0,0,0.292
"19",19,0,0,0,0,0,0.296
"20",20,0,0,0,0,0,0.262
"21",21,0,0,0,0,0,0.266
"22",22,0,0,0,0,0,0.252
"23",23,0,0,0,0,0,0.266
"24",24,0,0,0,0,0,0.318
"25",25,0,0,0,0,0,0.228
"26",26,0,0,0,0,0,0.34
"27",27,0,0,0,0,0,0.268
"28",28,0,0,0,0,0,0.248
"29",29,0,0,0,0,0,0.206
"30",30,0,0,0,0,0,0.244
"31",31,0,0,0,0,0,0.376
"32",32,0,0,0,0,0,0.262
"33",33,0,0,0,0,0,0.312
"34",34,0,0,0,0,0,0.262
"35",35,0,0,0,0,0,0.252
"36",36,0,0,0,0,0,0.306
"37",37,0,0,0,0,0,0.266
"38",38,0,0,0,0,0,0.158
"39",39,0,0,0,0,0,0.254
"40",40,0,0,0,0,0,0.172
"41",41,0,0,0,0,0,0.246
"42",42,0,0,0,0,0,0.23
"43",43,0,0,0,0,0,0.248
"44",44,0,0,0,0,0,0.264
"45",45,0,0,0,0,0,0.25
"46",46,0,0,0,0,0,0.266
"47",47,0,0,0,0,0,0.276
"48",48,0,0,0,0,0,0.246
"49",49,0,0,0,0,0,0.322
"50",50,0,0,0,0,0,0.292
