"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.456
"2",2,0,0,0,0,0,0.408
"3",3,0,0,0,0,0,0.416
"4",4,0,0,0,0,0,0.378
"5",5,0,0,0,0,0,0.392
"6",6,0,0,0,0,0,0.436
"7",7,0,0,0,0,0,0.386
"8",8,0,0,0,0,0,0.404
"9",9,0,0,0,0,0,0.384
"10",10,0,0,0,0,0,0.334
"11",11,0,0,0,0,0,0.412
"12",12,0,0,0,0,0,0.43
"13",13,0,0,0,0,0,0.35
"14",14,0,0,0,0,0,0.376
"15",15,0,0,0,0,0,0.412
"16",16,0,0,0,0,0,0.378
"17",17,0,0,0,0,0,0.36
"18",18,0,0,0,0,0,0.412
"19",19,0,0,0,0,0,0.392
"20",20,0,0,0,0,0,0.41
"21",21,0,0,0,0,0,0.372
"22",22,0,0,0,0,0,0.44
"23",23,0,0,0,0,0,0.39
"24",24,0,0,0,0,0,0.414
"25",25,0,0,0,0,0,0.406
"26",26,0,0,0,0,0,0.364
"27",27,0,0,0,0,0,0.444
"28",28,0,0,0,0,0,0.38
"29",29,0,0,0,0,0,0.37
"30",30,0,0,0,0,0,0.388
"31",31,0,0,0,0,0,0.41
"32",32,0,0,0,0,0,0.426
"33",33,0,0,0,0,0,0.358
"34",34,0,0,0,0,0,0.41
"35",35,0,0,0,0,0,0.39
"36",36,0,0,0,0,0,0.418
"37",37,0,0,0,0,0,0.42
"38",38,0,0,0,0,0,0.358
"39",39,0,0,0,0,0,0.382
"40",40,0,0,0,0,0,0.408
"41",41,0,0,0,0,0,0.402
"42",42,0,0,0,0,0,0.368
"43",43,0,0,0,0,0,0.394
"44",44,0,0,0,0,0,0.368
"45",45,0,0,0,0,0,0.48
"46",46,0,0,0,0,0,0.35
"47",47,0,0,0,0,0,0.45
"48",48,0,0,0,0,0,0.376
"49",49,0,0,0,0,0,0.4
"50",50,0,0,0,0,0,0.406
