"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.718
"2",2,0,0,0,0,0,0,0,0,0.714
"3",3,0,0,0,0,0,0,0,0,0.68
"4",4,0,0,0,0,0,0,0,0,0.692
"5",5,0,0,0,0,0,0,0,0,0.71
"6",6,0,0,0,0,0,0,0,0,0.7
"7",7,0,0,0,0,0,0,0,0,0.668
"8",8,0,0,0,0,0,0,0,0,0.686
"9",9,0,0,0,0,0,0,0,0,0.686
"10",10,0,0,0,0,0,0,0,0,0.7
"11",11,0,0,0,0,0,0,0,0,0.714
"12",12,0,0,0,0,0,0,0,0,0.682
"13",13,0,0,0,0,0,0,0,0,0.7
"14",14,0,0,0,0,0,0,0,0,0.718
"15",15,0,0,0,0,0,0,0,0,0.76
"16",16,0,0,0,0,0,0,0,0,0.682
"17",17,0,0,0,0,0,0,0,0,0.718
"18",18,0,0,0,0,0,0,0,0,0.698
"19",19,0,0,0,0,0,0,0,0,0.68
"20",20,0,0,0,0,0,0,0,0,0.674
"21",21,0,0,0,0,0,0,0,0,0.7
"22",22,0,0,0,0,0,0,0,0,0.686
"23",23,0,0,0,0,0,0,0,0,0.67
"24",24,0,0,0,0,0,0,0,0,0.694
"25",25,0,0,0,0,0,0,0,0,0.742
"26",26,0,0,0,0,0,0,0,0,0.714
"27",27,0,0,0,0,0,0,0,0,0.706
"28",28,0,0,0,0,0,0,0,0,0.674
"29",29,0,0,0,0,0,0,0,0,0.69
"30",30,0,0,0,0,0,0,0,0,0.712
"31",31,0,0,0,0,0,0,0,0,0.69
"32",32,0,0,0,0,0,0,0,0,0.734
"33",33,0,0,0,0,0,0,0,0,0.712
"34",34,0,0,0,0,0,0,0,0,0.684
"35",35,0,0,0,0,0,0,0,0,0.702
"36",36,0,0,0,0,0,0,0,0,0.722
"37",37,0,0,0,0,0,0,0,0,0.676
"38",38,0,0,0,0,0,0,0,0,0.684
"39",39,0,0,0,0,0,0,0,0,0.67
"40",40,0,0,0,0,0,0,0,0,0.726
"41",41,0,0,0,0,0,0,0,0,0.718
"42",42,0,0,0,0,0,0,0,0,0.676
"43",43,0,0,0,0,0,0,0,0,0.696
"44",44,0,0,0,0,0,0,0,0,0.694
"45",45,0,0,0,0,0,0,0,0,0.666
"46",46,0,0,0,0,0,0,0,0,0.712
"47",47,0,0,0,0,0,0,0,0,0.678
"48",48,0,0,0,0,0,0,0,0,0.712
"49",49,0,0,0,0,0,0,0,0,0.7
"50",50,0,0,0,0,0,0,0,0,0.68
