"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.0842105263157895,0.078740157480315,0,0,0,0
"2",2,0,0.0930232558139535,0.0952380952380952,0,0,0,0
"3",3,0,0.0670241286863271,0.0672043010752688,0,0,0,0
"4",4,0,0.0777777777777778,0.0700280112044818,0,0,0,0
"5",5,0,0.112531969309463,0.10230179028133,0,0,0,0
"6",6,0,0.107416879795396,0.0974358974358974,0,0,0,0
"7",7,0,0.115107913669065,0.107579462102689,0,0,0,0
"8",8,0,0.072192513368984,0.0575342465753425,0,0,0,0
"9",9,0,0.0970149253731343,0.0933660933660934,0,0,0,0
"10",10,0,0.0916030534351145,0.1025,0,0,0,0
"11",11,0,0.101298701298701,0.103274559193955,0,0,0,0
"12",12,0,0.0677083333333333,0.0883838383838384,0,0,0,0
"13",13,0,0.105263157894737,0.0971128608923885,0,0,0,0
"14",14,0,0.1,0.086734693877551,0,0,0,0
"15",15,0,0.121827411167513,0.0992167101827676,0,0,0,0
"16",16,0,0.0756302521008403,0.0970350404312668,0,0,0,0
"17",17,0,0.0989583333333333,0.119289340101523,0,0,0,0
"18",18,0,0.0972972972972973,0.0810810810810811,0,0,0,0
"19",19,0,0.0810810810810811,0.0594594594594595,0,0,0,0
"20",20,0,0.0833333333333333,0.074468085106383,0,0,0,0
"21",21,0,0.0769230769230769,0.0840336134453782,0,0,0,0
"22",22,0,0.102244389027431,0.087719298245614,0,0,0,0
"23",23,0,0.0971867007672634,0.0962025316455696,0,0,0,0
"24",24,0,0.0848329048843188,0.083969465648855,0,0,0,0
"25",25,0,0.114077669902913,0,0,0,0,0
"26",26,0,0.073490813648294,0,0,0,0,0
"27",27,0,0.079155672823219,0.0887728459530026,0,0,0,0
"28",28,0,0.0862068965517241,0.0880195599022005,0,0,0,0
"29",29,0,0.0704960835509138,0.0906801007556675,0,0,0,0
"30",30,0,0.0979899497487437,0.0980392156862745,0,0,0,0
"31",31,0,0.0906666666666667,0.0802139037433155,0,0,0,0
"32",32,0,0.104591836734694,0.101781170483461,0,0,0,0
"33",33,0,0.0894736842105263,0.108860759493671,0,0,0,0
"34",34,0,0.113110539845758,0.105128205128205,0,0,0,0
"35",35,0,0.0659025787965616,0.0765027322404372,0,0,0,0
"36",36,0,0.107734806629834,0.0966850828729282,0,0,0,0
"37",37,0,0.0693333333333333,0.0699481865284974,0,0,0,0
"38",38,0,0.0861111111111111,0.0853994490358127,0,0,0,0
"39",39,0,0.111688311688312,0.0897097625329815,0,0,0,0
"40",40,0,0.0824742268041237,0.0954773869346734,0,0,0,0
"41",41,0,0.0893300248138958,0.0852130325814536,0,0,0,0
"42",42,0,0.0560224089635854,0.0771276595744681,0,0,0,0
"43",43,0,0.094488188976378,0.0861618798955614,0,0,0,0
"44",44,0,0.085427135678392,0.0798004987531172,0,0,0,0
"45",45,0,0.0971867007672634,0.0911392405063291,0,0,0,0
"46",46,0,0.0837988826815642,0.07202216066482,0,0,0,0
"47",47,0,0.0763358778625954,0.103960396039604,0,0,0,0
"48",48,0,0.078125,0.062015503875969,0,0,0,0
"49",49,0,0.0978835978835979,0.0712401055408971,0,0,0,0
"50",50,0,0.1,0.0980392156862745,0,0,0,0
