"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.117283950617284
"2",2,0,0,0,0,0,0,0,0,0.126666666666667
"3",3,0,0,0,0,0,0,0,0,0.0856164383561644
"4",4,0,0,0,0,0,0,0,0,0.0711974110032362
"5",5,0,0,0,0,0,0,0,0,0.0962199312714777
"6",6,0,0,0,0,0,0,0,0,0.0997150997150997
"7",7,0,0,0,0,0,0,0,0,0.11144578313253
"8",8,0,0,0,0,0,0,0,0,0.0801393728222996
"9",9,0,0,0,0,0,0,0,0,0.0978593272171254
"10",10,0,0,0,0,0,0,0,0,0.0794701986754967
"11",11,0,0,0,0,0,0,0,0,0.0699088145896656
"12",12,0,0,0,0,0,0,0,0,0.107843137254902
"13",13,0,0,0,0,0,0,0,0,0.0948012232415902
"14",14,0,0,0,0,0,0,0,0,0.0953846153846154
"15",15,0,0,0,0,0,0,0,0,0.0631970260223048
"16",16,0,0,0,0,0,0,0,0,0.105919003115265
"17",17,0,0,0,0,0,0,0,0,0.0771604938271605
"18",18,0,0,0,0,0,0,0,0,0.0894039735099338
"19",19,0,0,0,0,0,0,0,0,0.0897009966777409
"20",20,0,0,0,0,0,0,0,0,0.101639344262295
"21",21,0,0,0,0,0,0,0,0,0.0944625407166124
"22",22,0,0,0,0,0,0,0,0,0.0977011494252874
"23",23,0,0,0,0,0,0,0,0,0.0771704180064309
"24",24,0,0,0,0,0,0,0,0,0.107594936708861
"25",25,0,0,0,0,0,0,0,0,0.0977198697068404
"26",26,0,0,0,0,0,0,0,0,0.0718954248366013
"27",27,0,0,0,0,0,0,0,0,0.120845921450151
"28",28,0,0,0,0,0,0,0,0,0.0657439446366782
"29",29,0,0,0,0,0,0,0,0,0.0791139240506329
"30",30,0,0,0,0,0,0,0,0,0.0830670926517572
"31",31,0,0,0,0,0,0,0,0,0.0987654320987654
"32",32,0,0,0,0,0,0,0,0,0.0756578947368421
"33",33,0,0,0,0,0,0,0,0,0.103448275862069
"34",34,0,0,0,0,0,0,0,0,0.0714285714285714
"35",35,0,0,0,0,0,0,0,0,0.109324758842444
"36",36,0,0,0,0,0,0,0,0,0.0927152317880795
"37",37,0,0,0,0,0,0,0,0,0.0711864406779661
"38",38,0,0,0,0,0,0,0,0,0.0732484076433121
"39",39,0,0,0,0,0,0,0,0,0.128930817610063
"40",40,0,0,0,0,0,0,0,0,0.0491228070175439
"41",41,0,0,0,0,0,0,0,0,0.0866666666666667
"42",42,0,0,0,0,0,0,0,0,0.105769230769231
"43",43,0,0,0,0,0,0,0,0,0.102564102564103
"44",44,0,0,0,0,0,0,0,0,0.102739726027397
"45",45,0,0,0,0,0,0,0,0,0.0506756756756757
"46",46,0,0,0,0,0,0,0,0,0.1
"47",47,0,0,0,0,0,0,0,0,0.0894568690095847
"48",48,0,0,0,0,0,0,0,0,0.104166666666667
"49",49,0,0,0,0,0,0,0,0,0.0721311475409836
"50",50,0,0,0,0,0,0,0,0,0.0897009966777409
