"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.506,0.578,0,0.314,0,0.518
"2",2,0,0.51,0.572,0,0.34,0,0.51
"3",3,0,0.498,0.574,0,0.316,0,0.492
"4",4,0,0.452,0.538,0,0.346,0.004,0.454
"5",5,0,0.5,0.57,0,0.32,0,0.504
"6",6,0,0.436,0.53,0,0.314,0,0.436
"7",7,0,0.486,0.562,0,0.318,0,0.486
"8",8,0,0.468,0.556,0,0.322,0,0.466
"9",9,0,0.476,0.572,0,0.31,0,0.478
"10",10,0,0.474,0.566,0,0.292,0,0.474
"11",11,0,0.476,0.57,0,0.31,0,0.476
"12",12,0,0.442,0.518,0,0.276,0.012,0.442
"13",13,0,0.502,0.58,0,0.334,0,0.512
"14",14,0,0.484,0.564,0,0.334,0,0.484
"15",15,0,0.508,0.612,0,0.362,0,0.514
"16",16,0,0.476,0.566,0,0.332,0.002,0.476
"17",17,0,0.492,0.582,0,0.332,0.006,0.492
"18",18,0,0.442,0.548,0,0.306,0.002,0.45
"19",19,0,0.548,0.62,0,0.37,0.002,0.546
"20",20,0,0.482,0.554,0,0.35,0,0.484
"21",21,0,0.464,0.552,0,0.334,0,0.464
"22",22,0,0.49,0.572,0,0.328,0.002,0.492
"23",23,0,0.502,0.582,0,0.338,0,0.504
"24",24,0,0.512,0.616,0,0.388,0.004,0.516
"25",25,0,0.528,0.622,0,0.35,0,0.53
"26",26,0,0.484,0.73,0,0.306,0,0.484
"27",27,0,0.418,0.524,0,0.27,0,0.422
"28",28,0,0.492,0.578,0,0.278,0,0.49
"29",29,0,0.484,0.574,0,0.362,0.002,0.484
"30",30,0,0.466,0.544,0,0.32,0,0.466
"31",31,0,0.464,0.556,0,0.312,0,0.468
"32",32,0,0.442,0.536,0,0.264,0,0.45
"33",33,0,0.498,0.602,0,0.328,0,0.5
"34",34,0,0.416,0.528,0,0.24,0,0.42
"35",35,0,0.486,0.564,0,0.29,0,0.494
"36",36,0,0.482,0.564,0,0.328,0,0.486
"37",37,0,0.448,0.552,0,0.262,0,0.46
"38",38,0,0.498,0.57,0,0.31,0.002,0.498
"39",39,0,0.51,0.586,0,0.328,0,0.514
"40",40,0,0.498,0.604,0,0.312,0,0.5
"41",41,0,0.47,0.552,0,0.32,0,0.476
"42",42,0,0.454,0.548,0,0.296,0,0.45
"43",43,0,0.468,0.55,0,0.314,0,0.472
"44",44,0,0.488,0.566,0,0.342,0,0.486
"45",45,0,0.518,0.598,0,0.334,0,0.518
"46",46,0,0.488,0.582,0,0.354,0,0.496
"47",47,0,0.442,0.536,0,0.326,0,0.442
"48",48,0,0.436,0.554,0,0.272,0,0.442
"49",49,0,0.496,0.554,0,0.3,0.004,0.496
"50",50,0,0.472,0.566,0,0.296,0,0.47
