"","Algorithm","Power","FDR"
"1","1D_NPMLE",0.47944,0.0865138249572548
"2","2D_NPMLE",0.56988,0.0983230320071239
"3","Welch",0.318,0.139769748975943
"4","B_F",0.00084,0
"5","t_test",0.48168,0.0889464077044552
