"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.0844686648501362
"2",2,0,0,0,0,0,0,0,0,0.0678851174934726
"3",3,0,0,0,0,0,0,0,0,0.096
"4",4,0,0,0,0,0,0,0,0,0.0923482849604222
"5",5,0,0,0,0,0,0,0,0,0.0989583333333333
"6",6,0,0,0,0,0,0,0,0,0.140096618357488
"7",7,0,0,0,0,0,0,0,0,0.0753246753246753
"8",8,0,0,0,0,0,0,0,0,0.0584958217270195
"9",9,0,0,0,0,0,0,0,0,0.109452736318408
"10",10,0,0,0,0,0,0,0,0,0.0857908847184987
"11",11,0,0,0,0,0,0,0,0,0.102981029810298
"12",12,0,0,0,0,0,0,0,0,0.110539845758355
"13",13,0,0,0,0,0,0,0,0,0.0916030534351145
"14",14,0,0,0,0,0,0,0,0,0.110275689223058
"15",15,0,0,0,0,0,0,0,0,0.0775401069518717
"16",16,0,0,0,0,0,0,0,0,0.0771276595744681
"17",17,0,0,0,0,0,0,0,0,0.0963541666666667
"18",18,0,0,0,0,0,0,0,0,0.0722222222222222
"19",19,0,0,0,0,0,0,0,0,0.078804347826087
"20",20,0,0,0,0,0,0,0,0,0.111386138613861
"21",21,0,0,0,0,0,0,0,0,0.0803108808290155
"22",22,0,0,0,0,0,0,0,0,0.0810055865921788
"23",23,0,0,0,0,0,0,0,0,0.061624649859944
"24",24,0,0,0,0,0,0,0,0,0.0663129973474801
"25",25,0,0,0,0,0,0,0,0,0.0925925925925926
"26",26,0,0,0,0,0,0,0,0,0.123324396782842
"27",27,0,0,0,0,0,0,0,0,0.0989583333333333
"28",28,0,0,0,0,0,0,0,0,0.109625668449198
"29",29,0,0,0,0,0,0,0,0,0.0971867007672634
"30",30,0,0,0,0,0,0,0,0,0.10880829015544
"31",31,0,0,0,0,0,0,0,0,0.11025641025641
"32",32,0,0,0,0,0,0,0,0,0.106598984771574
"33",33,0,0,0,0,0,0,0,0,0.0846153846153846
"34",34,0,0,0,0,0,0,0,0,0.09375
"35",35,0,0,0,0,0,0,0,0,0.0644257703081232
"36",36,0,0,0,0,0,0,0,0,0.13
"37",37,0,0,0,0,0,0,0,0,0.103274559193955
"38",38,0,0,0,0,0,0,0,0,0.109947643979058
"39",39,0,0,0,0,0,0,0,0,0.107769423558897
"40",40,0,0,0,0,0,0,0,0,0.0802139037433155
"41",41,0,0,0,0,0,0,0,0,0.10655737704918
"42",42,0,0,0,0,0,0,0,0,0.0810810810810811
"43",43,0,0,0,0,0,0,0,0,0.105398457583548
"44",44,0,0,0,0,0,0,0,0,0.0626631853785901
"45",45,0,0,0,0,0,0,0,0,0.100515463917526
"46",46,0,0,0,0,0,0,0,0,0.0820512820512821
"47",47,0,0,0,0,0,0,0,0,0.0868421052631579
"48",48,0,0,0,0,0,0,0,0,0.0829015544041451
"49",49,0,0,0,0,0,0,0,0,0.0704607046070461
"50",50,0,0,0,0,0,0,0,0,0.0951086956521739
