"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.648,0.664,0,0.634,0.59,0.648
"2",2,0,0.67,0.7,0,0.678,0.638,0.668
"3",3,0,0.668,0.686,0,0.65,0.608,0.668
"4",4,0,0.68,0.706,0,0.66,0.624,0.68
"5",5,0,0.656,0.668,0,0.628,0.562,0.656
"6",6,0,0.664,0.662,0,0.648,0.61,0.666
"7",7,0,0.678,0.692,0,0.66,0.622,0.678
"8",8,0,0.698,0.712,0,0.68,0.638,0.698
"9",9,0,0.664,0.678,0,0.658,0.616,0.664
"10",10,0,0.662,0.684,0,0.648,0.61,0.662
"11",11,0,0.628,0.654,0,0.626,0.576,0.628
"12",12,0,0.658,0.67,0,0.636,0.572,0.658
"13",13,0,0.61,0.636,0,0.598,0.56,0.608
"14",14,0,0.664,0.674,0,0.652,0.61,0.666
"15",15,0,0.654,0.678,0,0.652,0.598,0.654
"16",16,0,0.672,0.684,0,0.65,0.612,0.672
"17",17,0,0.658,0.678,0,0.65,0.616,0.658
"18",18,0,0.644,0.668,0,0.616,0.574,0.644
"19",19,0,0.644,0.69,0,0.644,0.6,0.644
"20",20,0,0.652,0.666,0,0.626,0.592,0.652
"21",21,0,0.638,0.678,0,0.622,0.588,0.638
"22",22,0,0.69,0.696,0,0.684,0.642,0.69
"23",23,0,0.646,0.662,0,0.65,0.598,0.646
"24",24,0,0.7,0.714,0,0.692,0.66,0.698
"25",25,0,0.666,0.678,0,0.656,0.624,0.666
"26",26,0,0.674,0.682,0,0.652,0.616,0.674
"27",27,0,0.676,0.698,0,0.664,0.63,0.676
"28",28,0,0.676,0.704,0,0.65,0.628,0.676
"29",29,0,0.708,0.736,0,0.702,0.65,0.708
"30",30,0,0.632,0.662,0,0.616,0.562,0.632
"31",31,0,0.606,0.632,0,0.598,0.562,0.606
"32",32,0,0.614,0.652,0,0.62,0.566,0.614
"33",33,0,0.654,0.674,0,0.632,0.602,0.654
"34",34,0,0.682,0.708,0,0.666,0.63,0.682
"35",35,0,0.656,0.666,0,0.646,0.598,0.656
"36",36,0,0.664,0.682,0,0.646,0.602,0.664
"37",37,0,0.664,0.676,0,0.656,0.61,0.664
"38",38,0,0.672,0.696,0,0.65,0.592,0.672
"39",39,0,0.684,0.722,0,0.682,0.628,0.686
"40",40,0,0.662,0.684,0,0.656,0.62,0.662
"41",41,0,0.684,0.698,0,0.646,0.612,0.684
"42",42,0,0.676,0.69,0,0.656,0.606,0.676
"43",43,0,0.658,0.676,0,0.644,0.612,0.658
"44",44,0,0.64,0.68,0,0.64,0.588,0.642
"45",45,0,0.626,0.652,0,0.616,0.58,0.626
"46",46,0,0.66,0.686,0,0.644,0.598,0.662
"47",47,0,0.692,0.728,0,0.674,0.632,0.692
"48",48,0,0.634,0.664,0,0.632,0.602,0.634
"49",49,0,0.664,0.686,0,0.638,0.604,0.662
"50",50,0,0.658,0.67,0,0.648,0.596,0.656
