"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.564,0.604,0,0.486,0.222,0.564
"2",2,0,0.572,0.616,0,0.5,0.272,0.574
"3",3,0,0.56,0.612,0,0.464,0.292,0.56
"4",4,0,0.556,0.612,0,0.484,0.262,0.558
"5",5,0,0.6,0.636,0,0.502,0.3,0.6
"6",6,0,0.59,0.65,0,0.504,0.278,0.592
"7",7,0,0.608,0.65,0,0.51,0.284,0.608
"8",8,0,0.558,0.616,0,0.49,0.266,0.558
"9",9,0,0.544,0.574,0,0.476,0.236,0.55
"10",10,0,0.562,0.614,0,0.472,0.268,0.562
"11",11,0,0.55,0.618,0,0.47,0.198,0.552
"12",12,0,0.526,0.576,0,0.46,0.268,0.526
"13",13,0,0.57,0.608,0,0.472,0.258,0.57
"14",14,0,0.544,0.598,0,0.46,0.27,0.54
"15",15,0,0.554,0.6,0,0.416,0.206,0.552
"16",16,0,0.574,0.614,0,0.488,0.298,0.572
"17",17,0,0.548,0.604,0,0.496,0.244,0.548
"18",18,0,0.572,0.63,0,0.458,0.254,0.572
"19",19,0,0.554,0.612,0,0.494,0.282,0.554
"20",20,0,0.564,0.606,0,0.488,0.288,0.564
"21",21,0,0.534,0.564,0,0.464,0.256,0.534
"22",22,0,0.622,0.682,0,0.538,0.374,0.626
"23",23,0,0.538,0.604,0,0.468,0.194,0.538
"24",24,0,0.516,0.582,0,0.42,0.214,0.516
"25",25,0,0.576,0.612,0,0.52,0.32,0.574
"26",26,0,0.568,0.604,0,0.492,0.256,0.568
"27",27,0,0.55,0.606,0,0.468,0.264,0.55
"28",28,0,0.542,0.578,0,0.462,0.278,0.542
"29",29,0,0.592,0.646,0,0.49,0.218,0.594
"30",30,0,0.596,0.642,0,0.48,0.28,0.596
"31",31,0,0.564,0.628,0,0.472,0.284,0.564
"32",32,0,0.56,0.618,0,0.456,0.272,0.564
"33",33,0,0.528,0.588,0,0.456,0.224,0.532
"34",34,0,0.582,0.624,0,0.512,0.236,0.586
"35",35,0,0.538,0.598,0,0.466,0.236,0.538
"36",36,0,0.564,0.618,0,0.476,0.194,0.564
"37",37,0,0.538,0.594,0,0.432,0.22,0.54
"38",38,0,0.512,0.568,0,0.422,0.22,0.51
"39",39,0,0.538,0.588,0,0.446,0.206,0.54
"40",40,0,0.558,0.594,0,0.456,0.268,0.558
"41",41,0,0.566,0.624,0,0.498,0.26,0.566
"42",42,0,0.528,0.582,0,0.446,0.228,0.528
"43",43,0,0.574,0.628,0,0.512,0.298,0.574
"44",44,0,0.556,0.638,0,0.478,0.238,0.556
"45",45,0,0.566,0.61,0,0.474,0.282,0.566
"46",46,0,0.55,0.61,0,0.47,0.278,0.55
"47",47,0,0.54,0.592,0,0.506,0.278,0.542
"48",48,0,0.556,0.628,0,0.478,0.264,0.556
"49",49,0,0.552,0.612,0,0.472,0.256,0.554
"50",50,0,0.57,0.618,0,0.458,0.306,0.57
