"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.596,0.638,0,0.55,0.454,0.596
"2",2,0,0.572,0.606,0,0.532,0.44,0.574
"3",3,0,0.572,0.608,0,0.528,0.42,0.572
"4",4,0,0.586,0.646,0,0.544,0.428,0.586
"5",5,0,0.618,0.64,0,0.592,0.484,0.618
"6",6,0,0.604,0.648,0,0.578,0.496,0.604
"7",7,0,0.59,0.6,0,0.548,0.466,0.588
"8",8,0,0.602,0.624,0,0.568,0.476,0.602
"9",9,0,0.602,0.656,0,0.572,0.442,0.604
"10",10,0,0.626,0.666,0,0.55,0.426,0.624
"11",11,0,0.598,0.62,0,0.53,0.444,0.598
"12",12,0,0.638,0.668,0,0.576,0.46,0.64
"13",13,0,0.572,0.598,0,0.542,0.466,0.572
"14",14,0,0.584,0.64,0,0.562,0.474,0.584
"15",15,0,0.598,0.658,0,0.58,0.476,0.6
"16",16,0,0.578,0.628,0,0.536,0.416,0.578
"17",17,0,0.596,0.638,0,0.558,0.426,0.596
"18",18,0,0.62,0.662,0,0.59,0.498,0.62
"19",19,0,0.588,0.62,0,0.568,0.458,0.596
"20",20,0,0.574,0.592,0,0.542,0.456,0.574
"21",21,0,0.58,0.608,0,0.524,0.404,0.58
"22",22,0,0.602,0.668,0,0.552,0.434,0.602
"23",23,0,0.624,0.662,0,0.584,0.478,0.624
"24",24,0,0.556,0.59,0,0.532,0.45,0.556
"25",25,0,0.602,0.636,0,0.55,0.464,0.602
"26",26,0,0.582,0.616,0,0.572,0.472,0.578
"27",27,0,0.604,0.64,0,0.576,0.474,0.604
"28",28,0,0.612,0.64,0,0.56,0.462,0.612
"29",29,0,0.592,0.646,0,0.548,0.45,0.59
"30",30,0,0.574,0.648,0,0.55,0.46,0.574
"31",31,0,0.594,0.626,0,0.57,0.478,0.596
"32",32,0,0.626,0.656,0,0.578,0.418,0.626
"33",33,0,0.586,0.61,0,0.54,0.446,0.586
"34",34,0,0.646,0.696,0,0.618,0.528,0.642
"35",35,0,0.562,0.608,0,0.522,0.426,0.562
"36",36,0,0.604,0.648,0,0.58,0.482,0.608
"37",37,0,0.584,0.618,0,0.566,0.46,0.584
"38",38,0,0.574,0.634,0,0.56,0.458,0.574
"39",39,0,0.604,0.664,0,0.572,0.46,0.606
"40",40,0,0.618,0.652,0,0.584,0.478,0.618
"41",41,0,0.614,0.646,0,0.564,0.478,0.614
"42",42,0,0.554,0.604,0,0.528,0.442,0.556
"43",43,0,0.564,0.61,0,0.514,0.42,0.566
"44",44,0,0.582,0.626,0,0.548,0.464,0.582
"45",45,0,0.614,0.646,0,0.576,0.502,0.614
"46",46,0,0.584,0.602,0,0.544,0.438,0.584
"47",47,0,0.612,0.646,0,0.55,0.436,0.612
"48",48,0,0.584,0.626,0,0.564,0.462,0.584
"49",49,0,0.62,0.646,0,0.552,0.44,0.62
"50",50,0,0.602,0.648,0,0.562,0.44,0.602
