"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.103448275862069
"2",2,0,0,0,0,0,0,0,0.108465608465608
"3",3,0,0,0,0,0,0,0,0.0856353591160221
"4",4,0,0,0,0,0,0,0,0.120204603580563
"5",5,0,0,0,0,0,0,0,0.116402116402116
"6",6,0,0,0,0,0,0,0,0.0939226519337017
"7",7,0,0,0,0,0,0,0,0.110144927536232
"8",8,0,0,0,0,0,0,0,0.0638297872340425
"9",9,0,0,0,0,0,0,0,0.14021164021164
"10",10,0,0,0,0,0,0,0,0.0971128608923885
"11",11,0,0,0,0,0,0,0,0.069060773480663
"12",12,0,0,0,0,0,0,0,0.108882521489971
"13",13,0,0,0,0,0,0,0,0.0934844192634561
"14",14,0,0,0,0,0,0,0,0.0529411764705882
"15",15,0,0,0,0,0,0,0,0.100574712643678
"16",16,0,0,0,0,0,0,0,0.0980392156862745
"17",17,0,0,0,0,0,0,0,0.0835734870317003
"18",18,0,0,0,0,0,0,0,0.115168539325843
"19",19,0,0,0,0,0,0,0,0.112
"20",20,0,0,0,0,0,0,0,0.0814606741573034
"21",21,0,0,0,0,0,0,0,0.0986301369863014
"22",22,0,0,0,0,0,0,0,0.0628415300546448
"23",23,0,0,0,0,0,0,0,0.092896174863388
"24",24,0,0,0,0,0,0,0,0.0903790087463557
"25",25,0,0,0,0,0,0,0,0.075801749271137
"26",26,0,0,0,0,0,0,0,0.119592875318066
"27",27,0,0,0,0,0,0,0,0.082018927444795
"28",28,0,0,0,0,0,0,0,0.0951156812339332
"29",29,0,0,0,0,0,0,0,0.100890207715134
"30",30,0,0,0,0,0,0,0,0.0647058823529412
"31",31,0,0,0,0,0,0,0,0.0805555555555556
"32",32,0,0,0,0,0,0,0,0.104651162790698
"33",33,0,0,0,0,0,0,0,0.0948275862068965
"34",34,0,0,0,0,0,0,0,0.11731843575419
"35",35,0,0,0,0,0,0,0,0.106382978723404
"36",36,0,0,0,0,0,0,0,0.0712250712250712
"37",37,0,0,0,0,0,0,0,0.122562674094708
"38",38,0,0,0,0,0,0,0,0.10752688172043
"39",39,0,0,0,0,0,0,0,0.0991501416430595
"40",40,0,0,0,0,0,0,0,0.101604278074866
"41",41,0,0,0,0,0,0,0,0.0904255319148936
"42",42,0,0,0,0,0,0,0,0.137640449438202
"43",43,0,0,0,0,0,0,0,0.087719298245614
"44",44,0,0,0,0,0,0,0,0.0863509749303621
"45",45,0,0,0,0,0,0,0,0.114441416893733
"46",46,0,0,0,0,0,0,0,0.092896174863388
"47",47,0,0,0,0,0,0,0,0.120320855614973
"48",48,0,0,0,0,0,0,0,0.107438016528926
"49",49,0,0,0,0,0,0,0,0.0911680911680912
"50",50,0,0,0,0,0,0,0,0.115288220551378
