"","Algorithm","Power","FDR"
"1","1D_NPMLE",0.39784,0.0934145290839223
"2","2D_NPMLE",0.4982,0.0921611462470571
"3","1D_Proj",0.39656,0.0918933118268133
"4","Welch",0.24728,0.128850220792213
