"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0,0.37,0.502,0.366,0.252
"2",2,0,0.376,0.482,0.376,0.264
"3",3,0,0.364,0.492,0.362,0.26
"4",4,0,0.394,0.52,0.394,0.242
"5",5,0,0.41,0.49,0.41,0.268
"6",6,0,0.37,0.472,0.37,0.24
"7",7,0,0.404,0.55,0.404,0.258
"8",8,0,0.362,0.446,0.36,0.226
"9",9,0,0.418,0.492,0.412,0.244
"10",10,0,0.43,0.536,0.428,0.25
"11",11,0,0.394,0.48,0.392,0.196
"12",12,0,0.422,0.512,0.428,0.232
"13",13,0,0.354,0.446,0.35,0.196
"14",14,0,0.418,0.526,0.41,0.292
"15",15,0,0.394,0.494,0.394,0.254
"16",16,0,0.382,0.478,0.38,0.266
"17",17,0,0.44,0.518,0.442,0.232
"18",18,0,0.388,0.494,0.39,0.25
"19",19,0,0.39,0.458,0.392,0.246
"20",20,0,0.402,0.534,0.4,0.24
"21",21,0,0.42,0.49,0.42,0.278
"22",22,0,0.39,0.512,0.39,0.228
"23",23,0,0.43,0.532,0.428,0.268
"24",24,0,0.368,0.486,0.364,0.27
"25",25,0,0.422,0.522,0.422,0.252
"26",26,0,0.372,0.486,0.362,0.224
"27",27,0,0.39,0.486,0.382,0.238
"28",28,0,0.418,0.528,0.42,0.262
"29",29,0,0.458,0.544,0.454,0.308
"30",30,0,0.408,0.512,0.408,0.256
"31",31,0,0.366,0.486,0.366,0.244
"32",32,0,0.392,0.472,0.392,0.24
"33",33,0,0.42,0.544,0.416,0.244
"34",34,0,0.426,0.5,0.426,0.252
"35",35,0,0.424,0.496,0.418,0.274
"36",36,0,0.444,0.542,0.442,0.262
"37",37,0,0.408,0.506,0.408,0.238
"38",38,0,0.38,0.502,0.376,0.256
"39",39,0,0.428,0.542,0.428,0.304
"40",40,0,0.414,0.506,0.414,0.226
"41",41,0,0.362,0.462,0.366,0.254
"42",42,0,0.418,0.518,0.418,0.246
"43",43,0,0.364,0.474,0.364,0.216
"44",44,0,0.4,0.516,0.4,0.258
"45",45,0,0.38,0.482,0.376,0.204
"46",46,0,0.41,0.482,0.41,0.262
"47",47,0,0.368,0.448,0.368,0.22
"48",48,0,0.398,0.468,0.398,0.224
"49",49,0,0.344,0.45,0.344,0.2
"50",50,0,0.388,0.494,0.388,0.248
