"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.548,0.546,0.562,0.546,0.456
"2",2,0.538,0.54,0.57,0.54,0.454
"3",3,0.546,0.546,0.582,0.546,0.456
"4",4,0.55,0.55,0.578,0.55,0.43
"5",5,0.588,0.588,0.6,0.586,0.47
"6",6,0.54,0.542,0.572,0.54,0.448
"7",7,0.618,0.61,0.62,0.616,0.506
"8",8,0.58,0.58,0.592,0.58,0.514
"9",9,0.578,0.576,0.614,0.578,0.498
"10",10,0.544,0.544,0.58,0.544,0.448
"11",11,0.55,0.548,0.592,0.546,0.484
"12",12,0.574,0.576,0.612,0.574,0.518
"13",13,0.55,0.548,0.564,0.546,0.464
"14",14,0.596,0.596,0.626,0.598,0.502
"15",15,0.61,0.61,0.634,0.608,0.508
"16",16,0.582,0.582,0.594,0.582,0.482
"17",17,0.564,0.566,0.598,0.568,0.474
"18",18,0.6,0.6,0.616,0.6,0.48
"19",19,0.562,0.564,0.584,0.562,0.504
"20",20,0.576,0.576,0.588,0.578,0.48
"21",21,0.634,0.636,0.644,0.634,0.526
"22",22,0.534,0.534,0.566,0.538,0.448
"23",23,0.568,0.568,0.608,0.568,0.504
"24",24,0.526,0.528,0.572,0.526,0.416
"25",25,0.574,0.574,0.606,0.572,0.494
"26",26,0.588,0.59,0.63,0.588,0.502
"27",27,0.57,0.572,0.578,0.57,0.47
"28",28,0.588,0.588,0.616,0.588,0.492
"29",29,0.584,0.584,0.604,0.584,0.486
"30",30,0.588,0.588,0.612,0.588,0.498
"31",31,0.544,0.542,0.572,0.542,0.436
"32",32,0.516,0.516,0.532,0.516,0.416
"33",33,0.576,0.576,0.608,0.576,0.46
"34",34,0.578,0.578,0.61,0.58,0.48
"35",35,0.56,0.562,0.582,0.562,0.444
"36",36,0.572,0.574,0.596,0.574,0.45
"37",37,0.56,0.564,0.574,0.562,0.458
"38",38,0.594,0.594,0.616,0.594,0.512
"39",39,0.586,0.584,0.616,0.584,0.478
"40",40,0.554,0.55,0.576,0.55,0.468
"41",41,0.548,0.548,0.588,0.548,0.488
"42",42,0.538,0.54,0.584,0.538,0.438
"43",43,0.584,0.584,0.6,0.58,0.514
"44",44,0.554,0.556,0.594,0.556,0.48
"45",45,0.62,0.622,0.632,0.622,0.516
"46",46,0.564,0.562,0.586,0.564,0.442
"47",47,0.604,0.606,0.608,0.604,0.478
"48",48,0.61,0.61,0.628,0.61,0.508
"49",49,0.586,0.586,0.61,0.586,0.454
"50",50,0.616,0.616,0.644,0.616,0.532
