"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.556
"2",2,0,0,0,0,0,0,0,0.556
"3",3,0,0,0,0,0,0,0,0.61
"4",4,0,0,0,0,0,0,0,0.574
"5",5,0,0,0,0,0,0,0,0.61
"6",6,0,0,0,0,0,0,0,0.542
"7",7,0,0,0,0,0,0,0,0.586
"8",8,0,0,0,0,0,0,0,0.556
"9",9,0,0,0,0,0,0,0,0.586
"10",10,0,0,0,0,0,0,0,0.576
"11",11,0,0,0,0,0,0,0,0.51
"12",12,0,0,0,0,0,0,0,0.596
"13",13,0,0,0,0,0,0,0,0.606
"14",14,0,0,0,0,0,0,0,0.542
"15",15,0,0,0,0,0,0,0,0.564
"16",16,0,0,0,0,0,0,0,0.542
"17",17,0,0,0,0,0,0,0,0.558
"18",18,0,0,0,0,0,0,0,0.592
"19",19,0,0,0,0,0,0,0,0.546
"20",20,0,0,0,0,0,0,0,0.576
"21",21,0,0,0,0,0,0,0,0.586
"22",22,0,0,0,0,0,0,0,0.572
"23",23,0,0,0,0,0,0,0,0.596
"24",24,0,0,0,0,0,0,0,0.576
"25",25,0,0,0,0,0,0,0,0.564
"26",26,0,0,0,0,0,0,0,0.608
"27",27,0,0,0,0,0,0,0,0.576
"28",28,0,0,0,0,0,0,0,0.632
"29",29,0,0,0,0,0,0,0,0.598
"30",30,0,0,0,0,0,0,0,0.622
"31",31,0,0,0,0,0,0,0,0.546
"32",32,0,0,0,0,0,0,0,0.614
"33",33,0,0,0,0,0,0,0,0.574
"34",34,0,0,0,0,0,0,0,0.552
"35",35,0,0,0,0,0,0,0,0.514
"36",36,0,0,0,0,0,0,0,0.59
"37",37,0,0,0,0,0,0,0,0.578
"38",38,0,0,0,0,0,0,0,0.57
"39",39,0,0,0,0,0,0,0,0.6
"40",40,0,0,0,0,0,0,0,0.574
"41",41,0,0,0,0,0,0,0,0.602
"42",42,0,0,0,0,0,0,0,0.562
"43",43,0,0,0,0,0,0,0,0.624
"44",44,0,0,0,0,0,0,0,0.592
"45",45,0,0,0,0,0,0,0,0.622
"46",46,0,0,0,0,0,0,0,0.596
"47",47,0,0,0,0,0,0,0,0.574
"48",48,0,0,0,0,0,0,0,0.57
"49",49,0,0,0,0,0,0,0,0.574
"50",50,0,0,0,0,0,0,0,0.562
