"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.155015197568389
"2",2,0,0,0,0,0,0,0,0.179941002949853
"3",3,0,0,0,0,0,0,0,0.197368421052632
"4",4,0,0,0,0,0,0,0,0.224324324324324
"5",5,0,0,0,0,0,0,0,0.162087912087912
"6",6,0,0,0,0,0,0,0,0.207602339181287
"7",7,0,0,0,0,0,0,0,0.192837465564738
"8",8,0,0,0,0,0,0,0,0.139318885448916
"9",9,0,0,0,0,0,0,0,0.212365591397849
"10",10,0,0,0,0,0,0,0,0.177142857142857
"11",11,0,0,0,0,0,0,0,0.174757281553398
"12",12,0,0,0,0,0,0,0,0.181318681318681
"13",13,0,0,0,0,0,0,0,0.178861788617886
"14",14,0,0,0,0,0,0,0,0.223495702005731
"15",15,0,0,0,0,0,0,0,0.194285714285714
"16",16,0,0,0,0,0,0,0,0.147798742138365
"17",17,0,0,0,0,0,0,0,0.195965417867435
"18",18,0,0,0,0,0,0,0,0.173184357541899
"19",19,0,0,0,0,0,0,0,0.194690265486726
"20",20,0,0,0,0,0,0,0,0.162790697674419
"21",21,0,0,0,0,0,0,0,0.205962059620596
"22",22,0,0,0,0,0,0,0,0.166180758017493
"23",23,0,0,0,0,0,0,0,0.233933161953728
"24",24,0,0,0,0,0,0,0,0.18413597733711
"25",25,0,0,0,0,0,0,0,0.160714285714286
"26",26,0,0,0,0,0,0,0,0.160220994475138
"27",27,0,0,0,0,0,0,0,0.152941176470588
"28",28,0,0,0,0,0,0,0,0.181347150259067
"29",29,0,0,0,0,0,0,0,0.176308539944904
"30",30,0,0,0,0,0,0,0,0.154891304347826
"31",31,0,0,0,0,0,0,0,0.177710843373494
"32",32,0,0,0,0,0,0,0,0.16120218579235
"33",33,0,0,0,0,0,0,0,0.177650429799427
"34",34,0,0,0,0,0,0,0,0.185840707964602
"35",35,0,0,0,0,0,0,0,0.181528662420382
"36",36,0,0,0,0,0,0,0,0.193989071038251
"37",37,0,0,0,0,0,0,0,0.154970760233918
"38",38,0,0,0,0,0,0,0,0.231805929919137
"39",39,0,0,0,0,0,0,0,0.204244031830239
"40",40,0,0,0,0,0,0,0,0.168115942028985
"41",41,0,0,0,0,0,0,0,0.161559888579387
"42",42,0,0,0,0,0,0,0,0.143292682926829
"43",43,0,0,0,0,0,0,0,0.193798449612403
"44",44,0,0,0,0,0,0,0,0.159090909090909
"45",45,0,0,0,0,0,0,0,0.166219839142091
"46",46,0,0,0,0,0,0,0,0.196765498652291
"47",47,0,0,0,0,0,0,0,0.202777777777778
"48",48,0,0,0,0,0,0,0,0.151785714285714
"49",49,0,0,0,0,0,0,0,0.202777777777778
"50",50,0,0,0,0,0,0,0,0.130030959752322
