"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.638,0.674,0,0.61,0.498,0.634
"2",2,0,0.618,0.652,0,0.586,0.498,0.618
"3",3,0,0.594,0.62,0,0.552,0.466,0.594
"4",4,0,0.692,0.718,0,0.614,0.518,0.692
"5",5,0,0.644,0.648,0,0.57,0.5,0.644
"6",6,0,0.63,0.66,0,0.58,0.484,0.63
"7",7,0,0.654,0.678,0,0.602,0.524,0.654
"8",8,0,0.594,0.6,0,0.554,0.47,0.59
"9",9,0,0.628,0.666,0,0.598,0.48,0.628
"10",10,0,0.648,0.668,0,0.572,0.476,0.648
"11",11,0,0.632,0.672,0,0.61,0.512,0.632
"12",12,0,0.6,0.63,0,0.566,0.492,0.6
"13",13,0,0.656,0.672,0,0.618,0.532,0.652
"14",14,0,0.636,0.662,0,0.594,0.496,0.636
"15",15,0,0.606,0.638,0,0.566,0.48,0.608
"16",16,0,0.618,0.636,0,0.54,0.442,0.618
"17",17,0,0.666,0.676,0,0.602,0.522,0.664
"18",18,0,0.63,0.678,0,0.576,0.472,0.632
"19",19,0,0.628,0.674,0,0.604,0.476,0.63
"20",20,0,0.61,0.64,0,0.56,0.478,0.61
"21",21,0,0.662,0.682,0,0.592,0.514,0.658
"22",22,0,0.668,0.67,0,0.6,0.492,0.668
"23",23,0,0.634,0.644,0,0.574,0.478,0.636
"24",24,0,0.608,0.642,0,0.526,0.45,0.608
"25",25,0,0.626,0.64,0,0.584,0.514,0.622
"26",26,0,0.622,0.652,0,0.574,0.49,0.622
"27",27,0,0.598,0.642,0,0.552,0.444,0.598
"28",28,0,0.654,0.694,0,0.606,0.514,0.656
"29",29,0,0.592,0.626,0,0.562,0.462,0.59
"30",30,0,0.664,0.696,0,0.622,0.514,0.668
"31",31,0,0.62,0.656,0,0.56,0.462,0.624
"32",32,0,0.648,0.664,0,0.608,0.51,0.648
"33",33,0,0.666,0.676,0,0.612,0.522,0.666
"34",34,0,0.652,0.672,0,0.608,0.506,0.652
"35",35,0,0.64,0.67,0,0.568,0.494,0.64
"36",36,0,0.602,0.634,0,0.542,0.454,0.602
"37",37,0,0.6,0.618,0,0.566,0.47,0.6
"38",38,0,0.634,0.652,0,0.586,0.486,0.634
"39",39,0,0.598,0.634,0,0.576,0.48,0.598
"40",40,0,0.618,0.644,0,0.568,0.44,0.618
"41",41,0,0.62,0.656,0,0.556,0.442,0.622
"42",42,0,0.644,0.654,0,0.6,0.52,0.644
"43",43,0,0.618,0.656,0,0.562,0.448,0.618
"44",44,0,0.656,0.67,0,0.61,0.516,0.656
"45",45,0,0.62,0.66,0,0.558,0.486,0.622
"46",46,0,0.65,0.65,0,0.598,0.5,0.648
"47",47,0,0.638,0.67,0,0.606,0.492,0.638
"48",48,0,0.63,0.654,0,0.598,0.522,0.632
"49",49,0,0.642,0.674,0,0.578,0.492,0.646
"50",50,0,0.634,0.684,0,0.574,0.506,0.634
