"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.656
"2",2,0,0,0,0,0,0,0,0,0.66
"3",3,0,0,0,0,0,0,0,0,0.712
"4",4,0,0,0,0,0,0,0,0,0.672
"5",5,0,0,0,0,0,0,0,0,0.688
"6",6,0,0,0,0,0,0,0,0,0.666
"7",7,0,0,0,0,0,0,0,0,0.618
"8",8,0,0,0,0,0,0,0,0,0.652
"9",9,0,0,0,0,0,0,0,0,0.706
"10",10,0,0,0,0,0,0,0,0,0.708
"11",11,0,0,0,0,0,0,0,0,0.682
"12",12,0,0,0,0,0,0,0,0,0.664
"13",13,0,0,0,0,0,0,0,0,0.602
"14",14,0,0,0,0,0,0,0,0,0.656
"15",15,0,0,0,0,0,0,0,0,0.676
"16",16,0,0,0,0,0,0,0,0,0.666
"17",17,0,0,0,0,0,0,0,0,0.668
"18",18,0,0,0,0,0,0,0,0,0.64
"19",19,0,0,0,0,0,0,0,0,0.682
"20",20,0,0,0,0,0,0,0,0,0.668
"21",21,0,0,0,0,0,0,0,0,0.644
"22",22,0,0,0,0,0,0,0,0,0.654
"23",23,0,0,0,0,0,0,0,0,0.65
"24",24,0,0,0,0,0,0,0,0,0.692
"25",25,0,0,0,0,0,0,0,0,0.65
"26",26,0,0,0,0,0,0,0,0,0.674
"27",27,0,0,0,0,0,0,0,0,0.638
"28",28,0,0,0,0,0,0,0,0,0.668
"29",29,0,0,0,0,0,0,0,0,0.676
"30",30,0,0,0,0,0,0,0,0,0.636
"31",31,0,0,0,0,0,0,0,0,0.654
"32",32,0,0,0,0,0,0,0,0,0.636
"33",33,0,0,0,0,0,0,0,0,0.682
"34",34,0,0,0,0,0,0,0,0,0.656
"35",35,0,0,0,0,0,0,0,0,0.68
"36",36,0,0,0,0,0,0,0,0,0.656
"37",37,0,0,0,0,0,0,0,0,0.644
"38",38,0,0,0,0,0,0,0,0,0.728
"39",39,0,0,0,0,0,0,0,0,0.666
"40",40,0,0,0,0,0,0,0,0,0.65
"41",41,0,0,0,0,0,0,0,0,0.678
"42",42,0,0,0,0,0,0,0,0,0.668
"43",43,0,0,0,0,0,0,0,0,0.692
"44",44,0,0,0,0,0,0,0,0,0.682
"45",45,0,0,0,0,0,0,0,0,0.714
"46",46,0,0,0,0,0,0,0,0,0.644
"47",47,0,0,0,0,0,0,0,0,0.68
"48",48,0,0,0,0,0,0,0,0,0.64
"49",49,0,0,0,0,0,0,0,0,0.666
"50",50,0,0,0,0,0,0,0,0,0.684
