"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.676
"2",2,0,0,0,0,0,0,0,0,0.668
"3",3,0,0,0,0,0,0,0,0,0.67
"4",4,0,0,0,0,0,0,0,0,0.666
"5",5,0,0,0,0,0,0,0,0,0.69
"6",6,0,0,0,0,0,0,0,0,0.67
"7",7,0,0,0,0,0,0,0,0,0.684
"8",8,0,0,0,0,0,0,0,0,0.654
"9",9,0,0,0,0,0,0,0,0,0.714
"10",10,0,0,0,0,0,0,0,0,0.62
"11",11,0,0,0,0,0,0,0,0,0.69
"12",12,0,0,0,0,0,0,0,0,0.698
"13",13,0,0,0,0,0,0,0,0,0.706
"14",14,0,0,0,0,0,0,0,0,0.67
"15",15,0,0,0,0,0,0,0,0,0.686
"16",16,0,0,0,0,0,0,0,0,0.642
"17",17,0,0,0,0,0,0,0,0,0.684
"18",18,0,0,0,0,0,0,0,0,0.666
"19",19,0,0,0,0,0,0,0,0,0.684
"20",20,0,0,0,0,0,0,0,0,0.664
"21",21,0,0,0,0,0,0,0,0,0.666
"22",22,0,0,0,0,0,0,0,0,0.688
"23",23,0,0,0,0,0,0,0,0,0.68
"24",24,0,0,0,0,0,0,0,0,0.692
"25",25,0,0,0,0,0,0,0,0,0.688
"26",26,0,0,0,0,0,0,0,0,0.698
"27",27,0,0,0,0,0,0,0,0,0.678
"28",28,0,0,0,0,0,0,0,0,0.622
"29",29,0,0,0,0,0,0,0,0,0.672
"30",30,0,0,0,0,0,0,0,0,0.642
"31",31,0,0,0,0,0,0,0,0,0.714
"32",32,0,0,0,0,0,0,0,0,0.704
"33",33,0,0,0,0,0,0,0,0,0.686
"34",34,0,0,0,0,0,0,0,0,0.686
"35",35,0,0,0,0,0,0,0,0,0.668
"36",36,0,0,0,0,0,0,0,0,0.678
"37",37,0,0,0,0,0,0,0,0,0.67
"38",38,0,0,0,0,0,0,0,0,0.684
"39",39,0,0,0,0,0,0,0,0,0.634
"40",40,0,0,0,0,0,0,0,0,0.658
"41",41,0,0,0,0,0,0,0,0,0.678
"42",42,0,0,0,0,0,0,0,0,0.694
"43",43,0,0,0,0,0,0,0,0,0.682
"44",44,0,0,0,0,0,0,0,0,0.684
"45",45,0,0,0,0,0,0,0,0,0.652
"46",46,0,0,0,0,0,0,0,0,0.666
"47",47,0,0,0,0,0,0,0,0,0.628
"48",48,0,0,0,0,0,0,0,0,0.652
"49",49,0,0,0,0,0,0,0,0,0.66
"50",50,0,0,0,0,0,0,0,0,0.658
