"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.10443864229765
"2",2,0,0,0,0,0,0,0,0.106741573033708
"3",3,0,0,0,0,0,0,0,0.0728291316526611
"4",4,0,0,0,0,0,0,0,0.12568306010929
"5",5,0,0,0,0,0,0,0,0.114077669902913
"6",6,0,0,0,0,0,0,0,0.073972602739726
"7",7,0,0,0,0,0,0,0,0.100558659217877
"8",8,0,0,0,0,0,0,0,0.0981432360742706
"9",9,0,0,0,0,0,0,0,0.0732394366197183
"10",10,0,0,0,0,0,0,0,0.0831099195710456
"11",11,0,0,0,0,0,0,0,0.120734908136483
"12",12,0,0,0,0,0,0,0,0.115089514066496
"13",13,0,0,0,0,0,0,0,0.106267029972752
"14",14,0,0,0,0,0,0,0,0.0760869565217391
"15",15,0,0,0,0,0,0,0,0.0984042553191489
"16",16,0,0,0,0,0,0,0,0.0887096774193548
"17",17,0,0,0,0,0,0,0,0.086734693877551
"18",18,0,0,0,0,0,0,0,0.120320855614973
"19",19,0,0,0,0,0,0,0,0.106965174129353
"20",20,0,0,0,0,0,0,0,0.0873239436619718
"21",21,0,0,0,0,0,0,0,0.0931506849315069
"22",22,0,0,0,0,0,0,0,0.0920716112531969
"23",23,0,0,0,0,0,0,0,0.101298701298701
"24",24,0,0,0,0,0,0,0,0.126582278481013
"25",25,0,0,0,0,0,0,0,0.102564102564103
"26",26,0,0,0,0,0,0,0,0.120643431635389
"27",27,0,0,0,0,0,0,0,0.0906515580736544
"28",28,0,0,0,0,0,0,0,0.124694376528117
"29",29,0,0,0,0,0,0,0,0.108991825613079
"30",30,0,0,0,0,0,0,0,0.0867208672086721
"31",31,0,0,0,0,0,0,0,0.0904109589041096
"32",32,0,0,0,0,0,0,0,0.11734693877551
"33",33,0,0,0,0,0,0,0,0.0870712401055409
"34",34,0,0,0,0,0,0,0,0.0919220055710306
"35",35,0,0,0,0,0,0,0,0.0838150289017341
"36",36,0,0,0,0,0,0,0,0.144329896907216
"37",37,0,0,0,0,0,0,0,0.113456464379947
"38",38,0,0,0,0,0,0,0,0.0967741935483871
"39",39,0,0,0,0,0,0,0,0.0762942779291553
"40",40,0,0,0,0,0,0,0,0.0833333333333333
"41",41,0,0,0,0,0,0,0,0.069164265129683
"42",42,0,0,0,0,0,0,0,0.0702247191011236
"43",43,0,0,0,0,0,0,0,0.105540897097625
"44",44,0,0,0,0,0,0,0,0.0864864864864865
"45",45,0,0,0,0,0,0,0,0.0809248554913295
"46",46,0,0,0,0,0,0,0,0.107142857142857
"47",47,0,0,0,0,0,0,0,0.101333333333333
"48",48,0,0,0,0,0,0,0,0.0923482849604222
"49",49,0,0,0,0,0,0,0,0.0889487870619946
"50",50,0,0,0,0,0,0,0,0.0797872340425532
