"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.686
"2",2,0,0,0,0,0,0,0,0.636
"3",3,0,0,0,0,0,0,0,0.662
"4",4,0,0,0,0,0,0,0,0.64
"5",5,0,0,0,0,0,0,0,0.73
"6",6,0,0,0,0,0,0,0,0.676
"7",7,0,0,0,0,0,0,0,0.644
"8",8,0,0,0,0,0,0,0,0.68
"9",9,0,0,0,0,0,0,0,0.658
"10",10,0,0,0,0,0,0,0,0.684
"11",11,0,0,0,0,0,0,0,0.67
"12",12,0,0,0,0,0,0,0,0.692
"13",13,0,0,0,0,0,0,0,0.656
"14",14,0,0,0,0,0,0,0,0.68
"15",15,0,0,0,0,0,0,0,0.678
"16",16,0,0,0,0,0,0,0,0.678
"17",17,0,0,0,0,0,0,0,0.716
"18",18,0,0,0,0,0,0,0,0.658
"19",19,0,0,0,0,0,0,0,0.718
"20",20,0,0,0,0,0,0,0,0.648
"21",21,0,0,0,0,0,0,0,0.662
"22",22,0,0,0,0,0,0,0,0.71
"23",23,0,0,0,0,0,0,0,0.692
"24",24,0,0,0,0,0,0,0,0.69
"25",25,0,0,0,0,0,0,0,0.63
"26",26,0,0,0,0,0,0,0,0.656
"27",27,0,0,0,0,0,0,0,0.642
"28",28,0,0,0,0,0,0,0,0.716
"29",29,0,0,0,0,0,0,0,0.654
"30",30,0,0,0,0,0,0,0,0.674
"31",31,0,0,0,0,0,0,0,0.664
"32",32,0,0,0,0,0,0,0,0.692
"33",33,0,0,0,0,0,0,0,0.692
"34",34,0,0,0,0,0,0,0,0.652
"35",35,0,0,0,0,0,0,0,0.634
"36",36,0,0,0,0,0,0,0,0.664
"37",37,0,0,0,0,0,0,0,0.672
"38",38,0,0,0,0,0,0,0,0.672
"39",39,0,0,0,0,0,0,0,0.678
"40",40,0,0,0,0,0,0,0,0.682
"41",41,0,0,0,0,0,0,0,0.646
"42",42,0,0,0,0,0,0,0,0.662
"43",43,0,0,0,0,0,0,0,0.678
"44",44,0,0,0,0,0,0,0,0.676
"45",45,0,0,0,0,0,0,0,0.636
"46",46,0,0,0,0,0,0,0,0.7
"47",47,0,0,0,0,0,0,0,0.674
"48",48,0,0,0,0,0,0,0,0.688
"49",49,0,0,0,0,0,0,0,0.676
"50",50,0,0,0,0,0,0,0,0.692
