"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.686,0.686,0.71,0.686,0.65
"2",2,0.57,0.574,0.59,0.57,0.552
"3",3,0.604,0.602,0.626,0.604,0.582
"4",4,0.622,0.622,0.658,0.622,0.612
"5",5,0.616,0.616,0.658,0.616,0.6
"6",6,0.616,0.612,0.642,0.61,0.602
"7",7,0.608,0.606,0.63,0.606,0.594
"8",8,0.628,0.628,0.652,0.628,0.6
"9",9,0.608,0.608,0.63,0.608,0.6
"10",10,0.598,0.596,0.614,0.594,0.574
"11",11,0.662,0.662,0.674,0.662,0.644
"12",12,0.612,0.612,0.652,0.612,0.602
"13",13,0.636,0.638,0.668,0.638,0.6
"14",14,0.62,0.62,0.654,0.622,0.614
"15",15,0.624,0.624,0.644,0.624,0.616
"16",16,0.65,0.65,0.662,0.65,0.624
"17",17,0.648,0.648,0.68,0.648,0.622
"18",18,0.616,0.614,0.656,0.614,0.6
"19",19,0.628,0.628,0.652,0.628,0.606
"20",20,0.736,0.736,0.76,0.736,0.71
"21",21,0.662,0.662,0.662,0.662,0.63
"22",22,0.644,0.644,0.67,0.642,0.62
"23",23,0.608,0.608,0.618,0.608,0.59
"24",24,0.608,0.608,0.632,0.608,0.584
"25",25,0.656,0.658,0.684,0.658,0.642
"26",26,0.638,0.634,0.636,0.634,0.606
"27",27,0.644,0.644,0.652,0.644,0.63
"28",28,0.652,0.652,0.662,0.652,0.608
"29",29,0.654,0.654,0.662,0.654,0.638
"30",30,0.598,0.598,0.62,0.598,0.584
"31",31,0.648,0.648,0.644,0.648,0.612
"32",32,0.642,0.644,0.668,0.644,0.63
"33",33,0.616,0.616,0.614,0.616,0.592
"34",34,0.644,0.644,0.676,0.642,0.628
"35",35,0.616,0.618,0.642,0.614,0.598
"36",36,0.62,0.618,0.64,0.618,0.6
"37",37,0.654,0.652,0.666,0.652,0.648
"38",38,0.604,0.606,0.624,0.606,0.578
"39",39,0.636,0.636,0.662,0.636,0.636
"40",40,0.614,0.614,0.626,0.614,0.588
"41",41,0.626,0.626,0.678,0.626,0.618
"42",42,0.66,0.66,0.672,0.656,0.654
"43",43,0.614,0.614,0.61,0.614,0.57
"44",44,0.652,0.652,0.668,0.652,0.638
"45",45,0.616,0.614,0.642,0.616,0.606
"46",46,0.638,0.638,0.672,0.638,0.632
"47",47,0.618,0.618,0.642,0.618,0.596
"48",48,0.642,0.642,0.68,0.642,0.634
"49",49,0.618,0.618,0.646,0.616,0.608
"50",50,0.624,0.622,0.656,0.626,0.598
