"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.62,0.62,0.656,0.618,0.58
"2",2,0.584,0.58,0.61,0.58,0.546
"3",3,0.57,0.57,0.616,0.57,0.554
"4",4,0.6,0.596,0.634,0.596,0.562
"5",5,0.614,0.614,0.63,0.614,0.562
"6",6,0.528,0.53,0.568,0.528,0.47
"7",7,0.604,0.598,0.638,0.6,0.538
"8",8,0.546,0.548,0.582,0.546,0.52
"9",9,0.574,0.574,0.618,0.572,0.526
"10",10,0.578,0.58,0.62,0.578,0.536
"11",11,0.564,0.562,0.602,0.562,0.518
"12",12,0.564,0.566,0.598,0.566,0.522
"13",13,0.624,0.624,0.654,0.624,0.586
"14",14,0.564,0.566,0.598,0.566,0.534
"15",15,0.616,0.618,0.638,0.616,0.556
"16",16,0.558,0.562,0.59,0.56,0.554
"17",17,0.572,0.572,0.624,0.572,0.54
"18",18,0.626,0.624,0.634,0.624,0.592
"19",19,0.588,0.59,0.624,0.59,0.564
"20",20,0.62,0.618,0.654,0.618,0.576
"21",21,0.61,0.61,0.64,0.61,0.578
"22",22,0.586,0.586,0.618,0.586,0.542
"23",23,0.552,0.552,0.606,0.552,0.534
"24",24,0.594,0.592,0.638,0.594,0.574
"25",25,0.582,0.58,0.618,0.58,0.562
"26",26,0.614,0.616,0.636,0.616,0.552
"27",27,0.562,0.562,0.588,0.562,0.516
"28",28,0.574,0.574,0.61,0.574,0.55
"29",29,0.6,0.6,0.646,0.6,0.566
"30",30,0.6,0.6,0.622,0.6,0.554
"31",31,0.57,0.572,0.578,0.57,0.524
"32",32,0.588,0.59,0.642,0.588,0.568
"33",33,0.584,0.586,0.618,0.582,0.526
"34",34,0.584,0.582,0.63,0.582,0.532
"35",35,0.59,0.59,0.628,0.59,0.558
"36",36,0.554,0.554,0.578,0.554,0.538
"37",37,0.568,0.568,0.608,0.568,0.534
"38",38,0.6,0.6,0.624,0.6,0.56
"39",39,0.638,0.638,0.67,0.638,0.612
"40",40,0.58,0.58,0.624,0.58,0.546
"41",41,0.612,0.61,0.65,0.612,0.58
"42",42,0.582,0.584,0.612,0.582,0.544
"43",43,0.56,0.56,0.59,0.558,0.534
"44",44,0.61,0.61,0.662,0.61,0.574
"45",45,0.562,0.562,0.576,0.562,0.546
"46",46,0.574,0.574,0.578,0.574,0.522
"47",47,0.61,0.61,0.626,0.61,0.576
"48",48,0.59,0.59,0.622,0.59,0.546
"49",49,0.612,0.608,0.634,0.61,0.566
"50",50,0.582,0.582,0.63,0.582,0.54
