"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.322
"2",2,0,0,0,0,0,0.298
"3",3,0,0,0,0,0,0.22
"4",4,0,0,0,0,0,0.24
"5",5,0,0,0,0,0,0.218
"6",6,0,0,0,0,0,0.31
"7",7,0,0,0,0,0,0.254
"8",8,0,0,0,0,0,0.216
"9",9,0,0,0,0,0,0.226
"10",10,0,0,0,0,0,0.206
"11",11,0,0,0,0,0,0.26
"12",12,0,0,0,0,0,0.258
"13",13,0,0,0,0,0,0.254
"14",14,0,0,0,0,0,0.314
"15",15,0,0,0,0,0,0.182
"16",16,0,0,0,0,0,0.228
"17",17,0,0,0,0,0,0.246
"18",18,0,0,0,0,0,0.23
"19",19,0,0,0,0,0,0.212
"20",20,0,0,0,0,0,0.234
"21",21,0,0,0,0,0,0.206
"22",22,0,0,0,0,0,0.178
"23",23,0,0,0,0,0,0.23
"24",24,0,0,0,0,0,0.238
"25",25,0,0,0,0,0,0.142
"26",26,0,0,0,0,0,0.184
"27",27,0,0,0,0,0,0.286
"28",28,0,0,0,0,0,0.204
"29",29,0,0,0,0,0,0.29
"30",30,0,0,0,0,0,0.202
"31",31,0,0,0,0,0,0.226
"32",32,0,0,0,0,0,0.236
"33",33,0,0,0,0,0,0.31
"34",34,0,0,0,0,0,0.258
"35",35,0,0,0,0,0,0.252
"36",36,0,0,0,0,0,0.232
"37",37,0,0,0,0,0,0.222
"38",38,0,0,0,0,0,0.172
"39",39,0,0,0,0,0,0.2
"40",40,0,0,0,0,0,0.236
"41",41,0,0,0,0,0,0.154
"42",42,0,0,0,0,0,0.288
"43",43,0,0,0,0,0,0.212
"44",44,0,0,0,0,0,0.228
"45",45,0,0,0,0,0,0.288
"46",46,0,0,0,0,0,0.188
"47",47,0,0,0,0,0,0.226
"48",48,0,0,0,0,0,0.232
"49",49,0,0,0,0,0,0.22
"50",50,0,0,0,0,0,0.206
