"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0,0,0,0,0.464,0
"2",2,0,0,0,0,0,0.488,0
"3",3,0,0,0,0,0,0.474,0
"4",4,0,0,0,0,0,0.484,0
"5",5,0,0,0,0,0,0.464,0
"6",6,0,0,0,0,0,0.524,0
"7",7,0,0,0,0,0,0.494,0
"8",8,0,0,0,0,0,0.498,0
"9",9,0,0,0,0,0,0.452,0
"10",10,0,0,0,0,0,0.502,0
"11",11,0,0,0,0,0,0.476,0
"12",12,0,0,0,0,0,0.494,0
"13",13,0,0,0,0,0,0.458,0
"14",14,0,0,0,0,0,0.452,0
"15",15,0,0,0,0,0,0.51,0
"16",16,0,0,0,0,0,0.486,0
"17",17,0,0,0,0,0,0.458,0
"18",18,0,0,0,0,0,0.518,0
"19",19,0,0,0,0,0,0.478,0
"20",20,0,0,0,0,0,0.468,0
"21",21,0,0,0,0,0,0.498,0
"22",22,0,0,0,0,0,0.436,0
"23",23,0,0,0,0,0,0.51,0
"24",24,0,0,0,0,0,0.49,0
"25",25,0,0,0,0,0,0.478,0
"26",26,0,0,0,0,0,0.462,0
"27",27,0,0,0,0,0,0.508,0
"28",28,0,0,0,0,0,0.526,0
"29",29,0,0,0,0,0,0.506,0
"30",30,0,0,0,0,0,0.478,0
"31",31,0,0,0,0,0,0.452,0
"32",32,0,0,0,0,0,0.512,0
"33",33,0,0,0,0,0,0.446,0
"34",34,0,0,0,0,0,0.476,0
"35",35,0,0,0,0,0,0.44,0
"36",36,0,0,0,0,0,0.472,0
"37",37,0,0,0,0,0,0.462,0
"38",38,0,0,0,0,0,0.446,0
"39",39,0,0,0,0,0,0.528,0
"40",40,0,0,0,0,0,0.508,0
"41",41,0,0,0,0,0,0.474,0
"42",42,0,0,0,0,0,0.514,0
"43",43,0,0,0,0,0,0.428,0
"44",44,0,0,0,0,0,0.444,0
"45",45,0,0,0,0,0,0.486,0
"46",46,0,0,0,0,0,0.532,0
"47",47,0,0,0,0,0,0.464,0
"48",48,0,0,0,0,0,0.486,0
"49",49,0,0,0,0,0,0.426,0
"50",50,0,0,0,0,0,0.478,0
