"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.57
"2",2,0,0,0,0,0,0.57
"3",3,0,0,0,0,0,0.53
"4",4,0,0,0,0,0,0.52
"5",5,0,0,0,0,0,0.518
"6",6,0,0,0,0,0,0.538
"7",7,0,0,0,0,0,0.548
"8",8,0,0,0,0,0,0.542
"9",9,0,0,0,0,0,0.528
"10",10,0,0,0,0,0,0.548
"11",11,0,0,0,0,0,0.544
"12",12,0,0,0,0,0,0.582
"13",13,0,0,0,0,0,0.61
"14",14,0,0,0,0,0,0.568
"15",15,0,0,0,0,0,0.508
"16",16,0,0,0,0,0,0.552
"17",17,0,0,0,0,0,0.58
"18",18,0,0,0,0,0,0.532
"19",19,0,0,0,0,0,0.546
"20",20,0,0,0,0,0,0.542
"21",21,0,0,0,0,0,0.542
"22",22,0,0,0,0,0,0.528
"23",23,0,0,0,0,0,0.564
"24",24,0,0,0,0,0,0.532
"25",25,0,0,0,0,0,0.508
"26",26,0,0,0,0,0,0.494
"27",27,0,0,0,0,0,0.604
"28",28,0,0,0,0,0,0.564
"29",29,0,0,0,0,0,0.536
"30",30,0,0,0,0,0,0.546
"31",31,0,0,0,0,0,0.576
"32",32,0,0,0,0,0,0.544
"33",33,0,0,0,0,0,0.584
"34",34,0,0,0,0,0,0.518
"35",35,0,0,0,0,0,0.546
"36",36,0,0,0,0,0,0.518
"37",37,0,0,0,0,0,0.542
"38",38,0,0,0,0,0,0.63
"39",39,0,0,0,0,0,0.536
"40",40,0,0,0,0,0,0.584
"41",41,0,0,0,0,0,0.624
"42",42,0,0,0,0,0,0.5
"43",43,0,0,0,0,0,0.532
"44",44,0,0,0,0,0,0.574
"45",45,0,0,0,0,0,0.558
"46",46,0,0,0,0,0,0.574
"47",47,0,0,0,0,0,0.558
"48",48,0,0,0,0,0,0.572
"49",49,0,0,0,0,0,0.542
"50",50,0,0,0,0,0,0.582
