"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.69,0.688,0.692,0.69,0.686
"2",2,0.722,0.72,0.71,0.722,0.702
"3",3,0.71,0.71,0.726,0.71,0.688
"4",4,0.68,0.68,0.708,0.682,0.67
"5",5,0.706,0.706,0.724,0.706,0.702
"6",6,0.664,0.664,0.678,0.664,0.666
"7",7,0.65,0.65,0.658,0.65,0.634
"8",8,0.672,0.668,0.702,0.67,0.658
"9",9,0.688,0.688,0.698,0.69,0.674
"10",10,0.676,0.678,0.704,0.678,0.666
"11",11,0.688,0.69,0.704,0.688,0.672
"12",12,0.668,0.67,0.682,0.67,0.648
"13",13,0.686,0.688,0.704,0.688,0.674
"14",14,0.646,0.646,0.664,0.646,0.642
"15",15,0.67,0.67,0.68,0.67,0.652
"16",16,0.688,0.688,0.706,0.688,0.676
"17",17,0.694,0.694,0.694,0.694,0.686
"18",18,0.728,0.728,0.738,0.728,0.72
"19",19,0.656,0.656,0.678,0.656,0.652
"20",20,0.684,0.684,0.696,0.684,0.672
"21",21,0.676,0.676,0.694,0.676,0.672
"22",22,0.7,0.702,0.71,0.7,0.686
"23",23,0.714,0.714,0.73,0.714,0.712
"24",24,0.7,0.7,0.708,0.7,0.684
"25",25,0.692,0.692,0.712,0.692,0.684
"26",26,0.732,0.732,0.738,0.732,0.714
"27",27,0.714,0.716,0.712,0.714,0.694
"28",28,0.712,0.71,0.726,0.71,0.698
"29",29,0.662,0.664,0.67,0.662,0.644
"30",30,0.72,0.718,0.73,0.72,0.706
"31",31,0.676,0.676,0.682,0.676,0.658
"32",32,0.698,0.694,0.7,0.698,0.68
"33",33,0.69,0.688,0.702,0.688,0.686
"34",34,0.664,0.664,0.68,0.664,0.662
"35",35,0.678,0.678,0.682,0.678,0.67
"36",36,0.706,0.706,0.724,0.704,0.704
"37",37,0.678,0.678,0.682,0.678,0.668
"38",38,0.692,0.692,0.698,0.692,0.696
"39",39,0.66,0.66,0.674,0.66,0.654
"40",40,0.686,0.686,0.696,0.686,0.678
"41",41,0.704,0.704,0.71,0.704,0.698
"42",42,0.7,0.7,0.714,0.7,0.696
"43",43,0.706,0.706,0.712,0.706,0.7
"44",44,0.65,0.652,0.68,0.65,0.644
"45",45,0.698,0.698,0.696,0.698,0.694
"46",46,0.7,0.7,0.71,0.7,0.688
"47",47,0.666,0.666,0.678,0.666,0.652
"48",48,0.696,0.694,0.708,0.696,0.684
"49",49,0.696,0.704,0.718,0.702,0.702
"50",50,0.692,0.692,0.708,0.692,0.688
