"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.652
"2",2,0,0,0,0,0,0.648
"3",3,0,0,0,0,0,0.658
"4",4,0,0,0,0,0,0.632
"5",5,0,0,0,0,0,0.634
"6",6,0,0,0,0,0,0.628
"7",7,0,0,0,0,0,0.626
"8",8,0,0,0,0,0,0.638
"9",9,0,0,0,0,0,0.626
"10",10,0,0,0,0,0,0.66
"11",11,0,0,0,0,0,0.694
"12",12,0,0,0,0,0,0.642
"13",13,0,0,0,0,0,0.656
"14",14,0,0,0,0,0,0.674
"15",15,0,0,0,0,0,0.636
"16",16,0,0,0,0,0,0.654
"17",17,0,0,0,0,0,0.638
"18",18,0,0,0,0,0,0.624
"19",19,0,0,0,0,0,0.642
"20",20,0,0,0,0,0,0.654
"21",21,0,0,0,0,0,0.67
"22",22,0,0,0,0,0,0.62
"23",23,0,0,0,0,0,0.662
"24",24,0,0,0,0,0,0.654
"25",25,0,0,0,0,0,0.646
"26",26,0,0,0,0,0,0.656
"27",27,0,0,0,0,0,0.66
"28",28,0,0,0,0,0,0.61
"29",29,0,0,0,0,0,0.648
"30",30,0,0,0,0,0,0.668
"31",31,0,0,0,0,0,0.64
"32",32,0,0,0,0,0,0.674
"33",33,0,0,0,0,0,0.652
"34",34,0,0,0,0,0,0.668
"35",35,0,0,0,0,0,0.656
"36",36,0,0,0,0,0,0.636
"37",37,0,0,0,0,0,0.622
"38",38,0,0,0,0,0,0.636
"39",39,0,0,0,0,0,0.652
"40",40,0,0,0,0,0,0.63
"41",41,0,0,0,0,0,0.662
"42",42,0,0,0,0,0,0.656
"43",43,0,0,0,0,0,0.69
"44",44,0,0,0,0,0,0.62
"45",45,0,0,0,0,0,0.67
"46",46,0,0,0,0,0,0.652
"47",47,0,0,0,0,0,0.632
"48",48,0,0,0,0,0,0.666
"49",49,0,0,0,0,0,0.66
"50",50,0,0,0,0,0,0.672
