"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.7,0.716,0,0.682,0.646,0.698
"2",2,0,0.69,0.73,0,0.69,0.65,0.69
"3",3,0,0.69,0.698,0,0.672,0.64,0.69
"4",4,0,0.686,0.71,0,0.66,0.622,0.686
"5",5,0,0.7,0.716,0,0.676,0.628,0.7
"6",6,0,0.682,0.694,0,0.674,0.636,0.682
"7",7,0,0.712,0.734,0,0.708,0.676,0.712
"8",8,0,0.72,0.732,0,0.7,0.664,0.72
"9",9,0,0.714,0.728,0,0.682,0.64,0.714
"10",10,0,0.698,0.708,0,0.688,0.636,0.698
"11",11,0,0.672,0.688,0,0.676,0.628,0.672
"12",12,0,0.716,0.736,0,0.692,0.652,0.716
"13",13,0,0.682,0.694,0,0.668,0.632,0.682
"14",14,0,0.688,0.682,0,0.666,0.624,0.688
"15",15,0,0.714,0.726,0,0.686,0.642,0.714
"16",16,0,0.708,0.72,0,0.69,0.634,0.708
"17",17,0,0.742,0.744,0,0.714,0.68,0.742
"18",18,0,0.68,0.692,0,0.656,0.624,0.68
"19",19,0,0.664,0.684,0,0.646,0.606,0.664
"20",20,0,0.696,0.706,0,0.674,0.636,0.696
"21",21,0,0.666,0.694,0,0.636,0.602,0.666
"22",22,0,0.706,0.714,0,0.688,0.652,0.706
"23",23,0,0.692,0.698,0,0.664,0.628,0.692
"24",24,0,0.684,0.696,0,0.67,0.65,0.684
"25",25,0,0.712,0.728,0,0.692,0.652,0.712
"26",26,0,0.7,0.716,0,0.678,0.652,0.702
"27",27,0,0.678,0.696,0,0.66,0.632,0.678
"28",28,0,0.71,0.726,0,0.682,0.642,0.71
"29",29,0,0.674,0.688,0,0.648,0.616,0.674
"30",30,0,0.68,0.706,0,0.656,0.622,0.68
"31",31,0,0.712,0.716,0,0.682,0.644,0.71
"32",32,0,0.676,0.682,0,0.662,0.618,0.676
"33",33,0,0.712,0.722,0,0.7,0.674,0.712
"34",34,0,0.674,0.682,0,0.646,0.606,0.674
"35",35,0,0.704,0.708,0,0.678,0.642,0.704
"36",36,0,0.694,0.722,0,0.662,0.634,0.694
"37",37,0,0.664,0.678,0,0.642,0.6,0.664
"38",38,0,0.706,0.714,0,0.68,0.652,0.706
"39",39,0,0.698,0.706,0,0.688,0.654,0.698
"40",40,0,0.706,0.716,0,0.684,0.652,0.706
"41",41,0,0.692,0.712,0,0.68,0.636,0.692
"42",42,0,0.698,0.708,0,0.682,0.636,0.7
"43",43,0,0.71,0.718,0,0.678,0.644,0.71
"44",44,0,0.702,0.716,0,0.68,0.656,0.702
"45",45,0,0.714,0.73,0,0.694,0.648,0.714
"46",46,0,0.692,0.718,0,0.676,0.628,0.692
"47",47,0,0.702,0.716,0,0.696,0.636,0.702
"48",48,0,0.692,0.698,0,0.672,0.634,0.692
"49",49,0,0.68,0.686,0,0.656,0.608,0.682
"50",50,0,0.694,0.71,0,0.688,0.644,0.694
