"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.732
"2",2,0,0,0,0,0,0,0,0,0.742
"3",3,0,0,0,0,0,0,0,0,0.712
"4",4,0,0,0,0,0,0,0,0,0.732
"5",5,0,0,0,0,0,0,0,0,0.7
"6",6,0,0,0,0,0,0,0,0,0.694
"7",7,0,0,0,0,0,0,0,0,0.704
"8",8,0,0,0,0,0,0,0,0,0.714
"9",9,0,0,0,0,0,0,0,0,0.656
"10",10,0,0,0,0,0,0,0,0,0.696
"11",11,0,0,0,0,0,0,0,0,0.666
"12",12,0,0,0,0,0,0,0,0,0.708
"13",13,0,0,0,0,0,0,0,0,0.702
"14",14,0,0,0,0,0,0,0,0,0.694
"15",15,0,0,0,0,0,0,0,0,0.726
"16",16,0,0,0,0,0,0,0,0,0.726
"17",17,0,0,0,0,0,0,0,0,0.718
"18",18,0,0,0,0,0,0,0,0,0.672
"19",19,0,0,0,0,0,0,0,0,0.708
"20",20,0,0,0,0,0,0,0,0,0.698
"21",21,0,0,0,0,0,0,0,0,0.74
"22",22,0,0,0,0,0,0,0,0,0.73
"23",23,0,0,0,0,0,0,0,0,0.716
"24",24,0,0,0,0,0,0,0,0,0.708
"25",25,0,0,0,0,0,0,0,0,0.724
"26",26,0,0,0,0,0,0,0,0,0.688
"27",27,0,0,0,0,0,0,0,0,0.706
"28",28,0,0,0,0,0,0,0,0,0.674
"29",29,0,0,0,0,0,0,0,0,0.678
"30",30,0,0,0,0,0,0,0,0,0.7
"31",31,0,0,0,0,0,0,0,0,0.724
"32",32,0,0,0,0,0,0,0,0,0.706
"33",33,0,0,0,0,0,0,0,0,0.704
"34",34,0,0,0,0,0,0,0,0,0.688
"35",35,0,0,0,0,0,0,0,0,0.674
"36",36,0,0,0,0,0,0,0,0,0.692
"37",37,0,0,0,0,0,0,0,0,0.698
"38",38,0,0,0,0,0,0,0,0,0.704
"39",39,0,0,0,0,0,0,0,0,0.728
"40",40,0,0,0,0,0,0,0,0,0.712
"41",41,0,0,0,0,0,0,0,0,0.73
"42",42,0,0,0,0,0,0,0,0,0.726
"43",43,0,0,0,0,0,0,0,0,0.738
"44",44,0,0,0,0,0,0,0,0,0.684
"45",45,0,0,0,0,0,0,0,0,0.68
"46",46,0,0,0,0,0,0,0,0,0.708
"47",47,0,0,0,0,0,0,0,0,0.662
"48",48,0,0,0,0,0,0,0,0,0.766
"49",49,0,0,0,0,0,0,0,0,0.65
"50",50,0,0,0,0,0,0,0,0,0.71
