"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.706
"2",2,0,0,0,0,0,0,0,0.702
"3",3,0,0,0,0,0,0,0,0.726
"4",4,0,0,0,0,0,0,0,0.7
"5",5,0,0,0,0,0,0,0,0.72
"6",6,0,0,0,0,0,0,0,0.68
"7",7,0,0,0,0,0,0,0,0.684
"8",8,0,0,0,0,0,0,0,0.696
"9",9,0,0,0,0,0,0,0,0.706
"10",10,0,0,0,0,0,0,0,0.726
"11",11,0,0,0,0,0,0,0,0.704
"12",12,0,0,0,0,0,0,0,0.73
"13",13,0,0,0,0,0,0,0,0.716
"14",14,0,0,0,0,0,0,0,0.748
"15",15,0,0,0,0,0,0,0,0.69
"16",16,0,0,0,0,0,0,0,0.724
"17",17,0,0,0,0,0,0,0,0.698
"18",18,0,0,0,0,0,0,0,0.718
"19",19,0,0,0,0,0,0,0,0.688
"20",20,0,0,0,0,0,0,0,0.712
"21",21,0,0,0,0,0,0,0,0.742
"22",22,0,0,0,0,0,0,0,0.696
"23",23,0,0,0,0,0,0,0,0.72
"24",24,0,0,0,0,0,0,0,0.744
"25",25,0,0,0,0,0,0,0,0.724
"26",26,0,0,0,0,0,0,0,0.728
"27",27,0,0,0,0,0,0,0,0.682
"28",28,0,0,0,0,0,0,0,0.718
"29",29,0,0,0,0,0,0,0,0.728
"30",30,0,0,0,0,0,0,0,0.736
"31",31,0,0,0,0,0,0,0,0.7
"32",32,0,0,0,0,0,0,0,0.728
"33",33,0,0,0,0,0,0,0,0.69
"34",34,0,0,0,0,0,0,0,0.716
"35",35,0,0,0,0,0,0,0,0.682
"36",36,0,0,0,0,0,0,0,0.734
"37",37,0,0,0,0,0,0,0,0.708
"38",38,0,0,0,0,0,0,0,0.714
"39",39,0,0,0,0,0,0,0,0.694
"40",40,0,0,0,0,0,0,0,0.75
"41",41,0,0,0,0,0,0,0,0.708
"42",42,0,0,0,0,0,0,0,0.7
"43",43,0,0,0,0,0,0,0,0.694
"44",44,0,0,0,0,0,0,0,0.714
"45",45,0,0,0,0,0,0,0,0.72
"46",46,0,0,0,0,0,0,0,0.686
"47",47,0,0,0,0,0,0,0,0.726
"48",48,0,0,0,0,0,0,0,0.754
"49",49,0,0,0,0,0,0,0,0.7
"50",50,0,0,0,0,0,0,0,0.73
