"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.522
"2",2,0,0,0,0,0,0.468
"3",3,0,0,0,0,0,0.434
"4",4,0,0,0,0,0,0.51
"5",5,0,0,0,0,0,0.514
"6",6,0,0,0,0,0,0.486
"7",7,0,0,0,0,0,0.466
"8",8,0,0,0,0,0,0.43
"9",9,0,0,0,0,0,0.438
"10",10,0,0,0,0,0,0.468
"11",11,0,0,0,0,0,0.49
"12",12,0,0,0,0,0,0.432
"13",13,0,0,0,0,0,0.488
"14",14,0,0,0,0,0,0.484
"15",15,0,0,0,0,0,0.476
"16",16,0,0,0,0,0,0.442
"17",17,0,0,0,0,0,0.492
"18",18,0,0,0,0,0,0.448
"19",19,0,0,0,0,0,0.492
"20",20,0,0,0,0,0,0.458
"21",21,0,0,0,0,0,0.408
"22",22,0,0,0,0,0,0.402
"23",23,0,0,0,0,0,0.438
"24",24,0,0,0,0,0,0.48
"25",25,0,0,0,0,0,0.44
"26",26,0,0,0,0,0,0.452
"27",27,0,0,0,0,0,0.448
"28",28,0,0,0,0,0,0.534
"29",29,0,0,0,0,0,0.474
"30",30,0,0,0,0,0,0.442
"31",31,0,0,0,0,0,0.464
"32",32,0,0,0,0,0,0.444
"33",33,0,0,0,0,0,0.46
"34",34,0,0,0,0,0,0.478
"35",35,0,0,0,0,0,0.522
"36",36,0,0,0,0,0,0.454
"37",37,0,0,0,0,0,0.456
"38",38,0,0,0,0,0,0.512
"39",39,0,0,0,0,0,0.446
"40",40,0,0,0,0,0,0.512
"41",41,0,0,0,0,0,0.452
"42",42,0,0,0,0,0,0.466
"43",43,0,0,0,0,0,0.464
"44",44,0,0,0,0,0,0.456
"45",45,0,0,0,0,0,0.454
"46",46,0,0,0,0,0,0.474
"47",47,0,0,0,0,0,0.428
"48",48,0,0,0,0,0,0.406
"49",49,0,0,0,0,0,0.412
"50",50,0,0,0,0,0,0.458
